name	term	lev	seq	value
"plastid thylakoid lumen"	GO:0009543;GO:0031978	3	isogroupSym_213848_c0_g1	1
"plastid thylakoid lumen"	GO:0009543;GO:0031978	3	isogroupSym_253497_c0_g1	0
"plastid thylakoid lumen"	GO:0009543;GO:0031978	3	isogroupSym_72990_c0_g1	1
"plastid thylakoid lumen"	GO:0009543;GO:0031978	3	isogroupSym_59210_c0_g1	0
"plastid thylakoid lumen"	GO:0009543;GO:0031978	3	isogroupSym_276410_c0_g1	0
"plastid thylakoid lumen"	GO:0009543;GO:0031978	3	isogroupSym_175339_c0_g1	0
"nuclear matrix"	GO:0016363	2	isogroupSym_148027_c1_g2	0
"nuclear matrix"	GO:0016363	2	isogroupSym_284899_c0_g1	1
"nuclear matrix"	GO:0016363	2	isogroupSym_107369_c3_g5	0
"nuclear matrix"	GO:0016363	2	isogroupSym_106617_c1_g1	0
"nuclear matrix"	GO:0016363	2	isogroupSym_145267_c0_g1	0
"nuclear matrix"	GO:0016363	2	isogroupSym_148027_c1_g6	1
"nuclear matrix"	GO:0016363	2	isogroupSym_151312_c5_g1	0
"nuclear matrix"	GO:0016363	2	isogroupSym_71960_c0_g1	0
"nuclear matrix"	GO:0016363	2	isogroupSym_287285_c0_g1	0
"nuclear matrix"	GO:0016363	2	isogroupSym_76306_c0_g1	0
"nuclear matrix"	GO:0016363	2	isogroupSym_94624_c0_g1	0
"nuclear matrix"	GO:0016363	2	isogroupSym_130544_c2_g1	1
"nuclear matrix"	GO:0016363	2	isogroupSym_111470_c6_g1	0
"nuclear matrix"	GO:0016363	2	isogroupSym_83968_c0_g3	0
"PML body"	GO:0016605	2	isogroupSym_94072_c0_g2	0
"PML body"	GO:0016605	2	isogroupSym_205763_c0_g1	0
"PML body"	GO:0016605	2	isogroupSym_98111_c0_g1	0
"PML body"	GO:0016605	2	isogroupSym_180625_c0_g1	1
"PML body"	GO:0016605	2	isogroupSym_130013_c0_g1	1
"PML body"	GO:0016605	2	isogroupSym_211901_c0_g1	0
"PML body"	GO:0016605	2	isogroupSym_86818_c0_g1	0
"PML body"	GO:0016605	2	isogroupSym_64401_c0_g2	1
"PML body"	GO:0016605	2	isogroupSym_157904_c0_g1	0
"PML body"	GO:0016605	2	isogroupSym_103019_c0_g1	0
"PML body"	GO:0016605	2	isogroupSym_99166_c0_g1	0
"PML body"	GO:0016605	2	isogroupSym_218077_c0_g1	0
"PML body"	GO:0016605	2	isogroupSym_213211_c0_g1	0
"PML body"	GO:0016605	2	isogroupSym_89782_c0_g1	0
"PML body"	GO:0016605	2	isogroupSym_94053_c0_g1	0
"PML body"	GO:0016605	2	isogroupSym_69324_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_175570_c0_g1	1
"extracellular space"	GO:0005615	2	isogroupSym_120982_c1_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_35389_c0_g1	1
"extracellular space"	GO:0005615	2	isogroupSym_209849_c0_g1	1
"extracellular space"	GO:0005615	2	isogroupSym_175732_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_59251_c0_g1	1
"extracellular space"	GO:0005615	2	isogroupSym_310154_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_94913_c0_g2	0
"extracellular space"	GO:0005615	2	isogroupSym_181345_c0_g1	1
"extracellular space"	GO:0005615	2	isogroupSym_285355_c0_g1	1
"extracellular space"	GO:0005615	2	isogroupSym_274019_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_17716_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_55837_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_130695_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_175801_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_104380_c6_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_187029_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_109358_c2_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_15924_c0_g1	1
"extracellular space"	GO:0005615	2	isogroupSym_90675_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_238032_c0_g1	1
"extracellular space"	GO:0005615	2	isogroupSym_16462_c0_g1	1
"extracellular space"	GO:0005615	2	isogroupSym_156315_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_101158_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_209650_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_95687_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_44505_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_273007_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_206099_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_62266_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_58586_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_123365_c1_g2	1
"extracellular space"	GO:0005615	2	isogroupSym_84347_c0_g1	1
"extracellular space"	GO:0005615	2	isogroupSym_149545_c2_g4	1
"extracellular space"	GO:0005615	2	isogroupSym_184557_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_125910_c0_g1	1
"extracellular space"	GO:0005615	2	isogroupSym_82495_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_142615_c0_g3	0
"extracellular space"	GO:0005615	2	isogroupSym_150619_c0_g1	1
"extracellular space"	GO:0005615	2	isogroupSym_155813_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_126957_c4_g3	0
"extracellular space"	GO:0005615	2	isogroupSym_119023_c7_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_137441_c0_g2	0
"extracellular space"	GO:0005615	2	isogroupSym_86781_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_277077_c0_g1	1
"extracellular space"	GO:0005615	2	isogroupSym_36366_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_16784_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_69838_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_138650_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_90807_c0_g1	1
"extracellular space"	GO:0005615	2	isogroupSym_206120_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_91566_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_78412_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_65344_c0_g1	1
"extracellular space"	GO:0005615	2	isogroupSym_111670_c0_g1	1
"extracellular space"	GO:0005615	2	isogroupSym_106070_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_245216_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_114958_c5_g1	1
"extracellular space"	GO:0005615	2	isogroupSym_208950_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_111921_c2_g1	1
"extracellular space"	GO:0005615	2	isogroupSym_158062_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_84522_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_145469_c3_g3	1
"extracellular space"	GO:0005615	2	isogroupSym_133958_c0_g2	1
"extracellular space"	GO:0005615	2	isogroupSym_116805_c4_g2	1
"extracellular space"	GO:0005615	2	isogroupSym_14083_c0_g1	1
"extracellular space"	GO:0005615	2	isogroupSym_245772_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_146609_c1_g1	1
"extracellular space"	GO:0005615	2	isogroupSym_105847_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_209700_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_17519_c0_g1	0
"extracellular space"	GO:0005615	2	isogroupSym_152675_c0_g1	0
