name	term	lev	seq	value
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_176854_c0_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_95686_c0_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_239491_c0_g1	1
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_127566_c0_g2	1
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_148027_c1_g2	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_107369_c3_g5	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_83170_c0_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_209358_c0_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_240417_c0_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_17579_c0_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_57811_c0_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_148027_c1_g6	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_95742_c0_g2	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_74161_c0_g2	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_120348_c1_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_92133_c0_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_55566_c0_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_240581_c0_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_104264_c2_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_138722_c2_g10	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_23506_c0_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_94917_c0_g3	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_279279_c0_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_212017_c0_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_16414_c0_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_76306_c0_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_84795_c0_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_128217_c2_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_19683_c0_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_25003_c0_g1	1
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_76045_c0_g2	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_121495_c7_g1	1
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_104048_c1_g4	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_94624_c0_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_98438_c0_g3	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_53594_c0_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_80453_c0_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_122038_c0_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_14932_c0_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_240728_c0_g1	1
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_28452_c0_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_113505_c4_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_58296_c0_g1	0
"single-stranded RNA binding"	GO:0003727	3	isogroupSym_111470_c6_g1	0
"chromatin binding"	GO:0003682	2	isogroupSym_77322_c0_g1	0
"chromatin binding"	GO:0003682	2	isogroupSym_125355_c0_g5	0
"chromatin binding"	GO:0003682	2	isogroupSym_43144_c0_g1	0
"chromatin binding"	GO:0003682	2	isogroupSym_65716_c0_g2	0
"chromatin binding"	GO:0003682	2	isogroupSym_155082_c0_g1	0
"chromatin binding"	GO:0003682	2	isogroupSym_16762_c0_g1	0
"chromatin binding"	GO:0003682	2	isogroupSym_148027_c1_g2	0
"chromatin binding"	GO:0003682	2	isogroupSym_90675_c0_g1	1
"chromatin binding"	GO:0003682	2	isogroupSym_107369_c3_g5	0
"chromatin binding"	GO:0003682	2	isogroupSym_83170_c0_g1	0
"chromatin binding"	GO:0003682	2	isogroupSym_165879_c0_g1	0
"chromatin binding"	GO:0003682	2	isogroupSym_159032_c0_g1	0
"chromatin binding"	GO:0003682	2	isogroupSym_158877_c0_g1	0
"chromatin binding"	GO:0003682	2	isogroupSym_240417_c0_g1	0
"chromatin binding"	GO:0003682	2	isogroupSym_124392_c0_g2	0
"chromatin binding"	GO:0003682	2	isogroupSym_95826_c0_g1	0
"chromatin binding"	GO:0003682	2	isogroupSym_98111_c0_g1	0
"chromatin binding"	GO:0003682	2	isogroupSym_55447_c0_g1	0
"chromatin binding"	GO:0003682	2	isogroupSym_89818_c0_g2	0
"chromatin binding"	GO:0003682	2	isogroupSym_148027_c1_g6	0
"chromatin binding"	GO:0003682	2	isogroupSym_208292_c0_g1	0
"chromatin binding"	GO:0003682	2	isogroupSym_80802_c0_g1	1
"chromatin binding"	GO:0003682	2	isogroupSym_175924_c0_g1	0
"chromatin binding"	GO:0003682	2	isogroupSym_74161_c0_g2	0
"chromatin binding"	GO:0003682	2	isogroupSym_57417_c0_g2	0
"chromatin binding"	GO:0003682	2	isogroupSym_92133_c0_g1	0
"chromatin binding"	GO:0003682	2	isogroupSym_873_c0_g1	0
"chromatin binding"	GO:0003682	2	isogroupSym_122811_c1_g2	0
"chromatin binding"	GO:0003682	2	isogroupSym_86818_c0_g1	0
"chromatin binding"	GO:0003682	2	isogroupSym_44665_c0_g1	0
"chromatin binding"	GO:0003682	2	isogroupSym_132912_c2_g1	0
"chromatin binding"	GO:0003682	2	isogroupSym_159718_c0_g1	0
"chromatin binding"	GO:0003682	2	isogroupSym_104730_c3_g1	0
"chromatin binding"	GO:0003682	2	isogroupSym_86202_c0_g1	0
