"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.456540121954902 2 5 "GO:0000002" "mitochondrial genome maintenance" 0.76215921483097
0 0.91150558650631 1 7 "GO:0000003" "reproduction" 0.964666292765003
0 0.563800512842706 4 6 "GO:0000012" "single strand break repair" 0.832850678733032
0 0.629603651263582 4 25 "GO:0000018" "regulation of DNA recombination" 0.895973154362416
0 0.730005212851782 5 8 "GO:0000019" "regulation of mitotic recombination" 0.915873015873016
0 0.996389275439764 4 23 "GO:0000027" "ribosomal large subunit assembly" 0.998159509202454
0 1 2 7 "GO:0000028" "ribosomal small subunit assembly" 1
0 0.429413734394557 4 8 "GO:0000032;GO:0006057;GO:0031506;GO:0006056" "mannoprotein biosynthetic process" 0.786308068459658
0 0.874841551753619 4 6 "GO:0000038" "very long-chain fatty acid metabolic process" 0.947495580436064
0 1 2 10 "GO:0000041" "transition metal ion transport" 1
0 0.790753131970437 2 9 "GO:0000045;GO:1905037" "autophagosome organization" 0.934372881355932
0 0.8230013786018 4 5 "GO:0000070" "mitotic sister chromatid segregation" 0.920547073791349
0 0.892593922343741 3 29 "GO:0000075;GO:0007093" "cell cycle checkpoint" 0.972023121387283
0 0.970225328765989 2 16 "GO:0000077;GO:0044773" "DNA damage checkpoint" 0.989586603872318
0 0.824664324216949 6 14 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.916624525916561
0 0.0699338363358087 4 11 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.504790419161677
0 0.585537719156658 2 17 "GO:0000097;GO:0000096" "sulfur amino acid metabolic process" 0.864298401420959
0 0.137657795424072 4 10 "GO:0000105;GO:0006547" "histidine metabolic process" 0.617832167832168
0 0.408493718235502 2 64 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.801820546163849
0 0.973999949187298 2 58 "GO:0000154" "rRNA modification" 0.99113197704747
0 0.968733796903454 2 10 "GO:0000165" "MAPK cascade" 0.989465408805032
0 0.7825986556051 3 44 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.944965517241379
0 0.8230013786018 6 5 "GO:0000187" "activation of MAPK activity" 0.920547073791349
0 0.64007519324071 9 68 "GO:0000209" "protein polyubiquitination" 0.909416666666667
0 0.896784317424676 2 92 "GO:0000226" "microtubule cytoskeleton organization" 0.976280944156592
0 0.777557703777076 5 55 "GO:0000272" "polysaccharide catabolic process" 0.957533286615277
0 0.851969673697964 3 19 "GO:0000278" "mitotic cell cycle" 0.961094038106945
0 0.578764363239598 2 52 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.852380952380952
0 0.91150558650631 3 7 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.964666292765003
0 0.642332421290514 3 18 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.907539353769677
0 0.459054904929585 3 15 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.75782092772384
0 0.0351334503482546 2 47 "GO:0000302" "response to reactive oxygen species" 0.445098039215686
0 0.8230013786018 8 5 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.920547073791349
0 0.96735637999492 2 35 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.992575039494471
0 0.408716046989838 2 11 "GO:0000387" "spliceosomal snRNP assembly" 0.78786717752235
0 0.973522337157157 3 99 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.991231732776618
0 0.639523108366604 3 36 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.909674728940784
0 0.874841551753619 2 6 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.947495580436064
0 0.995089272413866 4 22 "GO:0000455;GO:0031118" "rRNA pseudouridine synthesis" 0.998975409836066
0 0.8230013786018 3 5 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.920547073791349
0 0.456540121954902 2 5 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.76215921483097
0 0.730005212851782 4 8 "GO:0000467;GO:0000459;GO:0031125" "exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.915873015873016
0 0.642332421290514 3 18 "GO:0000469" "cleavage involved in rRNA processing" 0.907539353769677
0 0.654857343237476 2 7 "GO:0000470" "maturation of LSU-rRNA" 0.88961661341853
0 0.517387495936493 2 9 "GO:0000479;GO:0000478;GO:0000447" "endonucleolytic cleavage involved in rRNA processing" 0.842342342342342
0 0.8230013786018 2 5 "GO:0000712" "resolution of meiotic recombination intermediates" 0.920547073791349
0 0.506466893753857 4 26 "GO:0000723;GO:0032200" "telomere organization" 0.854076367389061
0 0.629603651263582 6 25 "GO:0000724;GO:0000725" "recombinational repair" 0.895973154362416
0 1 5 5 "GO:0000729" "DNA double-strand break processing" 1
0 0.597408499094235 2 10 "GO:0000731" "DNA synthesis involved in DNA repair" 0.876883116883117
0 0.336158436855781 2 7 "GO:0000819" "sister chromatid segregation" 0.707267441860465
0 0.114786906823956 2 38 "GO:0000902" "cell morphogenesis" 0.612554112554113
0 0.133606570941822 4 24 "GO:0000904" "cell morphogenesis involved in differentiation" 0.625093632958801
0 0.874841551753619 4 6 "GO:0000911" "cytokinesis by cell plate formation" 0.947495580436064
0 0.730005212851782 3 8 "GO:0000917;GO:0090529" "division septum assembly" 0.915873015873016
0 0.929362943307622 2 103 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 0.988919667590028
0 0.877071761646399 2 11 "GO:0000959" "mitochondrial RNA metabolic process" 0.939614935822637
0 0.456540121954902 7 5 "GO:0000963;GO:0140053" "mitochondrial RNA processing" 0.76215921483097
0 0.874841551753619 2 6 "GO:0000967" "rRNA 5'-end processing" 0.947495580436064
0 0.351770518281592 3 23 "GO:0001101" "response to acid chemical" 0.725742574257426
0 0.781265727584769 2 13 "GO:0001503" "ossification" 0.945303867403315
0 0.165579890577152 3 37 "GO:0001505" "regulation of neurotransmitter levels" 0.624712643678161
0 0.00320505350137924 4 71 "GO:0001508" "action potential" 0.266666666666667
0 0.538477693282154 6 75 "GO:0001510" "RNA methylation" 0.857269155206287
0 0.997313162451468 2 79 "GO:0001522" "pseudouridine synthesis" 0.997142857142857
0 0.484643506538969 2 12 "GO:0001525" "angiogenesis" 0.813970588235294
0 0.518771548581779 4 40 "GO:0001558" "regulation of cell growth" 0.840419161676647
0 0.955769346232057 2 9 "GO:0001568" "blood vessel development" 0.979777660137639
0 0.517387495936493 3 9 "GO:0001570" "vasculogenesis" 0.842342342342342
0 0.896653100755986 3 25 "GO:0001578;GO:0035082" "microtubule bundle formation" 0.976440092165899
0 0.563800512842706 3 6 "GO:0001649" "osteoblast differentiation" 0.832850678733032
0 0.330671821901761 3 10 "GO:0001654;GO:0007423" "sensory organ development" 0.764240506329114
0 0.0504691824015173 2 40 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.481746031746032
0 0.253466211310685 4 9 "GO:0001676" "long-chain fatty acid metabolic process" 0.697868217054264
0 0.205082367883942 2 23 "GO:0001701" "in utero embryonic development" 0.690384615384615
0 0.194094427997625 2 11 "GO:0001708" "cell fate specification" 0.681565656565656
0 0.18073294095782 2 8 "GO:0001709" "cell fate determination" 0.669946808510638
0 0.654857343237476 4 7 "GO:0001732" "formation of cytoplasmic translation initiation complex" 0.88961661341853
0 0.456540121954902 2 5 "GO:0001756;GO:0035282" "somitogenesis" 0.76215921483097
0 0.517387495936493 2 9 "GO:0001763" "morphogenesis of a branching structure" 0.842342342342342
0 0.937434211314099 4 8 "GO:0001764;GO:0016358" "neuron migration" 0.971405405405405
0 0.222861140697345 4 42 "GO:0001817" "regulation of cytokine production" 0.740277777777778
0 0.202299291192369 2 29 "GO:0001818" "negative regulation of cytokine production" 0.702463054187192
0 0.0699338363358087 2 11 "GO:0001819" "positive regulation of cytokine production" 0.504790419161677
0 0.0461501459651443 2 34 "GO:0001822" "kidney development" 0.4448
0 0.8230013786018 5 5 "GO:0001881" "receptor recycling" 0.920547073791349
0 0.456540121954902 2 5 "GO:0001889" "liver development" 0.76215921483097
0 0.937973096323969 5 23 "GO:0001894" "tissue homeostasis" 0.967707212055974
0 1 2 5 "GO:0001906" "cell killing" 1
0 0.361668079046512 2 109 "GO:0001932" "regulation of protein phosphorylation" 0.756783216783217
0 0.706175834360252 4 56 "GO:0001933;GO:0042326" "negative regulation of phosphorylation" 0.939710365853659
0 0.081441063868329 2 60 "GO:0001934;GO:0042327" "positive regulation of phosphorylation" 0.565760869565217
0 0.733872997424705 4 16 "GO:0001955;GO:0051151;GO:0051148;GO:0051150;GO:1900245;GO:0039533;GO:0062208;GO:0039531;GO:1900246;GO:0039535" "positive regulation of pattern recognition receptor signaling pathway" 0.90870806566738
0 0.350181624889393 4 49 "GO:0002009;GO:0048729" "tissue morphogenesis" 0.727635327635328
0 0.0322600464311989 5 30 "GO:0002027" "regulation of heart rate" 0.395833333333333
0 0.730005212851782 2 8 "GO:0002064" "epithelial cell development" 0.915873015873016
0 0.484643506538969 4 12 "GO:0002084;GO:0042159;GO:0098734;GO:0042157" "lipoprotein metabolic process" 0.813970588235294
0 0.889685094374685 3 16 "GO:0002097" "tRNA wobble base modification" 0.965373480023162
0 0.597408499094235 2 10 "GO:0002098" "tRNA wobble uridine modification" 0.876883116883117
0 0.456540121954902 2 5 "GO:0002128" "tRNA nucleoside ribose methylation" 0.76215921483097
0 1 5 18 "GO:0002181" "cytoplasmic translation" 1
0 0.8230013786018 2 5 "GO:0002183" "cytoplasmic translational initiation" 0.920547073791349
0 0.18073294095782 4 8 "GO:0002218" "activation of innate immune response" 0.669946808510638
0 0.242019340179295 6 6 "GO:0002225;GO:1900426;GO:0002760;GO:0002784;GO:0002759;GO:0002922" "positive regulation of defense response to bacterium" 0.708213552361396
0 0.8230013786018 3 5 "GO:0002250" "adaptive immune response" 0.920547073791349
0 0.80135166024935 2 56 "GO:0002252" "immune effector process" 0.941970310391363
0 0.117260516024887 3 15 "GO:0002253" "activation of immune response" 0.554826254826255
0 0.839089290189487 5 10 "GO:0002312;GO:0002285;GO:0042113" "B cell activation" 0.935718730553827
0 0.747334404785075 2 24 "GO:0002366;GO:0002263" "leukocyte activation involved in immune response" 0.915748587570621
0 0.459575766353377 1 147 "GO:0002376" "immune system process" 0.757866379310345
0 0.563800512842706 4 6 "GO:0002429;GO:0002757;GO:0002768;GO:0002764" "immune response-regulating signaling pathway" 0.832850678733032
0 0.839089290189487 3 10 "GO:0002521" "leukocyte differentiation" 0.935718730553827
0 0.157319818283756 3 115 "GO:0002682" "regulation of immune system process" 0.609567901234568
0 0.0634717787768151 4 41 "GO:0002683" "negative regulation of immune system process" 0.512925170068027
0 0.443916075171959 2 55 "GO:0002684" "positive regulation of immune system process" 0.806610576923077
0 0.730005212851782 3 8 "GO:0002685" "regulation of leukocyte migration" 0.915873015873016
0 0.874841551753619 3 6 "GO:0002688;GO:0050921" "positive regulation of chemotaxis" 0.947495580436064
0 0.0670411312100794 2 27 "GO:0002694" "regulation of leukocyte activation" 0.50440251572327
0 0.0699338363358087 3 11 "GO:0002695" "negative regulation of leukocyte activation" 0.504790419161677
0 0.0595885756793945 2 35 "GO:0002697" "regulation of immune effector process" 0.499300699300699
0 0.0280094006402101 2 5 "GO:0002698" "negative regulation of immune effector process" 0.352325581395349
0 0.300748552925888 3 22 "GO:0002699" "positive regulation of immune effector process" 0.788368055555556
0 0.137657795424072 2 10 "GO:0002702;GO:0002700" "positive regulation of production of molecular mediator of immune response" 0.617832167832168
0 0.022229584460865 3 9 "GO:0002703;GO:0002705;GO:0002824;GO:0002822;GO:0002821;GO:0002819;GO:0002708;GO:0002706" "regulation of leukocyte mediated immunity" 0.392982456140351
0 0.127960517764102 3 66 "GO:0002831" "regulation of response to biotic stimulus" 0.600381679389313
0 0.904923330269946 3 42 "GO:0002833;GO:0032103" "positive regulation of response to external stimulus" 0.981917336394948
0 0.089816353016739 2 9 "GO:0002920" "regulation of humoral immune response" 0.554950495049505
0 0.66313303770724 3 33 "GO:0003002" "regionalization" 0.890793650793651
0 0.501662930843581 2 231 "GO:0003006" "developmental process involved in reproduction" 0.85175983436853
0 0.00627465774234438 2 137 "GO:0003008" "system process" 0.305263157894737
0 0.0522681482634756 3 8 "GO:0003013" "circulatory system process" 0.476335877862595
0 0.242019340179295 3 6 "GO:0003014" "renal system process" 0.708213552361396
0 0.0280094006402101 4 5 "GO:0003018" "vascular process in circulatory system" 0.352325581395349
0 0.0646417326333869 4 6 "GO:0003146;GO:0048793" "pronephros development" 0.510457516339869
0 0.138186452193936 2 33 "GO:0003254" "regulation of membrane depolarization" 0.610689655172414
0 0.308225842722625 2 19 "GO:0003283;GO:0003279" "cardiac septum development" 0.790273037542662
0 0.422255055300507 6 31 "GO:0003333;GO:1905039;GO:1903825" "carboxylic acid transmembrane transport" 0.797982345523329
0 0.387059997266804 2 60 "GO:0003341" "cilium movement" 0.813297150610583
0 0.497707947863711 4 19 "GO:0003351;GO:0006858" "epithelial cilium movement involved in extracellular fluid movement" 0.848547717842324
0 0.336158436855781 2 7 "GO:0003356;GO:1902019" "regulation of cilium beat frequency" 0.707267441860465
0 0.0096932346436217 2 6 "GO:0003382" "epithelial cell morphogenesis" 0.303846153846154
0 0.206894432621588 2 295 "GO:0005975" "carbohydrate metabolic process" 0.691943127962085
0 0.377917183940725 2 103 "GO:0005976;GO:0044264" "polysaccharide metabolic process" 0.796462585034014
0 0.730005212851782 3 8 "GO:0005977;GO:0006112" "energy reserve metabolic process" 0.915873015873016
0 0.336158436855781 2 7 "GO:0005982" "starch metabolic process" 0.707267441860465
0 0.877071761646399 3 11 "GO:0005984" "disaccharide metabolic process" 0.939614935822637
0 0.456540121954902 5 5 "GO:0005985" "sucrose metabolic process" 0.76215921483097
0 0.0196403296414702 2 73 "GO:0005996" "monosaccharide metabolic process" 0.397959183673469
0 0.336158436855781 4 7 "GO:0006000" "fructose metabolic process" 0.707267441860465
0 0.726956802117521 4 31 "GO:0006006" "glucose metabolic process" 0.957898715041572
0 0.242019340179295 4 6 "GO:0006012" "galactose metabolic process" 0.708213552361396
0 0.517387495936493 3 9 "GO:0006020" "inositol metabolic process" 0.842342342342342
0 0.642332421290514 2 18 "GO:0006022" "aminoglycan metabolic process" 0.907539353769677
0 0.622137539933446 6 14 "GO:0006024;GO:0006023;GO:0030203" "glycosaminoglycan metabolic process" 0.892223161453931
0 0.456540121954902 2 5 "GO:0006026" "aminoglycan catabolic process" 0.76215921483097
0 0.668168168633384 5 11 "GO:0006029" "proteoglycan metabolic process" 0.88343701399689
0 0.860470326196564 2 15 "GO:0006040" "amino sugar metabolic process" 0.967176039119804
0 0.790753131970437 5 9 "GO:0006047" "UDP-N-acetylglucosamine metabolic process" 0.934372881355932
0 0.8230013786018 4 5 "GO:0006048;GO:0046349" "UDP-N-acetylglucosamine biosynthetic process" 0.920547073791349
0 0.378328713575302 2 83 "GO:0006066" "alcohol metabolic process" 0.795788043478261
