"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.458397504878652 2 25 "GO:0000018" "regulation of DNA recombination" 0.734651162790698
0 0.650696582055536 5 29 "GO:0000075;GO:0007093" "cell cycle checkpoint" 0.890026595744681
0 0.81701581752925 4 16 "GO:0000077;GO:0044773" "DNA damage checkpoint" 0.964672036823936
0 0.466913811227988 2 14 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.742725173210162
0 0.0316595508244011 4 11 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.243877551020408
0 0.106420514570806 2 17 "GO:0000097;GO:0000096" "sulfur amino acid metabolic process" 0.398618307426598
0 0.211801330534161 2 10 "GO:0000105;GO:0006547" "histidine metabolic process" 0.518793503480278
0 0.232299124729872 8 64 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.54521158129176
0 0.567825694719307 3 58 "GO:0000154" "rRNA modification" 0.841202027516293
0 0.765398107585288 2 44 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.981676047529706
0 0.0926407381309267 6 68 "GO:0000209" "protein polyubiquitination" 0.373382624768946
0 0.30932423637035 4 92 "GO:0000226" "microtubule cytoskeleton organization" 0.623002887391723
0 0.139420821347319 2 55 "GO:0000272" "polysaccharide catabolic process" 0.451127819548872
0 0.426831681939207 3 19 "GO:0000278" "mitotic cell cycle" 0.761929371231697
0 0.338655967817309 2 52 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.66112676056338
0 0.338619299503326 2 18 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.662370649106303
0 0.361425943015802 2 15 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.685740402193784
0 6.92496799453022e-05 2 47 "GO:0000302" "response to reactive oxygen species" 0
0 0.937573875819651 6 35 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 0.410255762801871 2 99 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.745782073813708
0 0.443079188496865 5 36 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.751760851760852
0 0.459180704822614 2 22 "GO:0000455;GO:0031118" "rRNA pseudouridine synthesis" 0.734984520123839
0 0.264764940708186 2 18 "GO:0000469" "cleavage involved in rRNA processing" 0.583857442348008
0 0.414251798067137 5 26 "GO:0000723;GO:0032200" "telomere maintenance" 0.749170305676856
0 0.569394898626195 5 25 "GO:0000724;GO:0000725" "recombinational repair" 0.84295010845987
0 0.0588134075091853 3 38 "GO:0000902" "cell morphogenesis" 0.313669064748201
0 0.0666898646018914 2 24 "GO:0000904" "cell morphogenesis involved in differentiation" 0.32488986784141
0 0.78116988330092 2 103 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 0.94742755765819
0 0.397185186463372 3 11 "GO:0000959" "mitochondrial RNA metabolic process" 0.730700976042591
0 0.0846255667037305 2 23 "GO:0001101" "response to acid chemical" 0.358333333333333
0 0.046078637978815 2 13 "GO:0001503" "ossification" 0.28283378746594
0 0.151826982900555 2 37 "GO:0001505" "regulation of neurotransmitter levels" 0.461396011396011
0 0.00109315335556343 3 71 "GO:0001508" "action potential" 0.0659090909090909
0 0.804870695880187 4 75 "GO:0001510" "RNA methylation" 0.967976539589443
0 0.646880230750062 4 79 "GO:0001522" "pseudouridine synthesis" 0.886875416389074
0 0.12541507719777 2 12 "GO:0001525" "angiogenesis" 0.427129337539432
0 0.0594230693849096 3 40 "GO:0001558" "regulation of cell growth" 0.31555023923445
0 0.029844274391559 2 9 "GO:0001570" "vasculogenesis" 0.240989399293286
0 0.362213681785311 2 25 "GO:0001578;GO:0035082" "microtubule bundle formation" 0.685948905109489
0 0.0470244754237249 2 40 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.286290322580645
0 0.150698945312417 2 9 "GO:0001676" "long-chain fatty acid metabolic process" 0.46065808297568
0 0.129726907272206 2 23 "GO:0001701" "in utero embryonic development" 0.432921174652241
0 0.0345684224653466 2 11 "GO:0001708" "cell fate specification" 0.245741324921136
0 0.0268726657414553 2 8 "GO:0001709" "cell fate determination" 0.222826086956522
0 0.00533919498886636 3 42 "GO:0001817" "regulation of cytokine production" 0.113445378151261
0 0.00168911071861776 4 29 "GO:0001818" "negative regulation of cytokine production" 0.0890909090909091
0 0.0749430111798536 5 11 "GO:0001819" "positive regulation of cytokine production" 0.34320987654321
0 0.00551374443698503 2 34 "GO:0001822" "kidney development" 0.111475409836066
0 0.0196173896063515 5 5 "GO:0001881" "receptor recycling" 0.192307692307692
0 0.399809465972361 4 23 "GO:0001894" "tissue homeostasis" 0.734632418069088
0 0.219905355529484 5 109 "GO:0001932" "regulation of protein phosphorylation" 0.52894438138479
0 0.434854388529378 2 56 "GO:0001933;GO:0042326" "negative regulation of phosphorylation" 0.772103004291846
0 0.0635733200247077 4 60 "GO:0001934;GO:0042327" "positive regulation of phosphorylation" 0.320227272727273
0 0.17445120228489 5 16 "GO:0001955;GO:0051151;GO:0051148;GO:0051150;GO:1900245;GO:0039533;GO:0062208;GO:0039531;GO:1900246;GO:0039535" "regulation of RIG-I signaling pathway" 0.469961977186312
0 0.0529820252021992 4 49 "GO:0002009;GO:0048729" "tissue morphogenesis" 0.295739348370927
0 0.00563250807668927 4 30 "GO:0002027" "regulation of heart rate" 0.1104
0 0.0960485813163003 4 12 "GO:0002084;GO:0042159;GO:0098734;GO:0042157" "lipoprotein catabolic process" 0.380072463768116
0 0.043937029730375 6 8 "GO:0002218" "activation of innate immune response" 0.2725
0 0.423601482973192 2 56 "GO:0002252" "immune effector process" 0.757118205349439
0 0.14687881718491 3 15 "GO:0002253" "activation of immune response" 0.458163265306122
0 0.665734926938256 2 24 "GO:0002366;GO:0002263" "leukocyte activation involved in immune response" 0.906825712392313
0 0.125678731687696 1 147 "GO:0002376" "immune system process" 0.426929133858268
