"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 2 5 "GO:0000002" "mitochondrial genome maintenance" 1
0 0.317497540974578 1 7 "GO:0000003" "reproduction" 1
0 0.252325204340329 4 6 "GO:0000012" "single strand break repair" 1
0 0.795797259733997 4 25 "GO:0000018" "regulation of DNA recombination" 1
0 0.757411504851633 5 8 "GO:0000019" "regulation of mitotic recombination" 1
0 0.983068138762255 4 23 "GO:0000027" "ribosomal large subunit assembly" 1
0 0.710387000968945 2 7 "GO:0000028" "ribosomal small subunit assembly" 1
0 1 4 8 "GO:0000032;GO:0006057;GO:0031506;GO:0006056" "mannoprotein biosynthetic process" 1
0 0.0579076130151856 4 6 "GO:0000038" "very long-chain fatty acid metabolic process" 0.798924731182796
0 1 2 10 "GO:0000041" "transition metal ion transport" 1
0 0.796808212549386 2 9 "GO:0000045;GO:1905037" "autophagosome organization" 1
0 0.587270813436275 4 5 "GO:0000070" "mitotic sister chromatid segregation" 1
0 0.961278492791525 3 29 "GO:0000075;GO:0007093" "cell cycle checkpoint" 1
0 0.758869498866946 2 16 "GO:0000077;GO:0044773" "DNA damage checkpoint" 1
0 0.916277406178305 6 14 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 1
0 0.553321051165386 4 11 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 1
0 0.292631840295417 2 17 "GO:0000097;GO:0000096" "sulfur amino acid metabolic process" 1
0 0.829813191111418 4 10 "GO:0000105;GO:0006547" "histidine metabolic process" 1
0 0.98495025979481 2 64 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.134933289937213 2 58 "GO:0000154" "rRNA modification" 0.915135135135135
0 0.499763405491098 2 10 "GO:0000165" "MAPK cascade" 1
0 0.863164663940917 3 44 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.587270813436275 6 5 "GO:0000187" "activation of MAPK activity" 1
0 0.00435967491479433 9 68 "GO:0000209" "protein polyubiquitination" 0.28125
0 0.900421327170779 2 92 "GO:0000226" "microtubule cytoskeleton organization" 1
0 0.0253372894299603 5 55 "GO:0000272" "polysaccharide catabolic process" 0.486538461538462
0 0.616019905680336 3 19 "GO:0000278" "mitotic cell cycle" 1
0 0.47287954763166 2 52 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 1
0 0.710387000968945 3 7 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 1
0 0.332180126756791 3 18 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 0.929889787065515 3 15 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 1
0 0.0673089190114592 2 47 "GO:0000302" "response to reactive oxygen species" 0.798148148148148
0 0.587270813436275 8 5 "GO:0000380" "alternative mRNA splicing, via spliceosome" 1
0 0.511256179508243 2 35 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 1 2 11 "GO:0000387" "spliceosomal snRNP assembly" 1
0 0.998049623240033 3 99 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 1
0 0.946485871793676 3 36 "GO:0000413" "protein peptidyl-prolyl isomerization" 1
0 1 2 6 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 1
0 0.0177058517728739 4 22 "GO:0000455;GO:0031118" "rRNA pseudouridine synthesis" 0.4
0 1 3 5 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 1 2 5 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 1 4 8 "GO:0000467;GO:0000459;GO:0031125" "exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.814883368261118 3 18 "GO:0000469" "cleavage involved in rRNA processing" 1
0 0.710387000968945 2 7 "GO:0000470" "maturation of LSU-rRNA" 1
0 0.796808212549386 2 9 "GO:0000479;GO:0000478;GO:0000447" "endonucleolytic cleavage involved in rRNA processing" 1
0 1 2 5 "GO:0000712" "resolution of meiotic recombination intermediates" 1
