"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
214 0.642310823813416 2 12 "GO:0000109" "nucleotide-excision repair complex" 0.876098365489127
-90 0.881995273765632 3 7 "GO:0000118" "histone deacetylase complex" 0.96402514642181
-309 0.608389392398205 3 7 "GO:0000138" "Golgi trans cisterna" 0.866216154243988
243 0.0147249284989192 2 269 "GO:0000139" "Golgi membrane" 0.177776575779634
-156 0.404177513028658 3 74 "GO:0000151" "ubiquitin ligase complex" 0.800271475796743
862 0.0736820310913835 2 11 "GO:0000152" "nuclear ubiquitin ligase complex" 0.397450161741427
475 0.466205854024412 3 6 "GO:0000159" "protein phosphatase type 2A complex" 0.824531369280292
-372 0.537325377754576 2 7 "GO:0000164" "protein phosphatase type 1 complex" 0.844488652810969
1231 0.0207768860170559 3 9 "GO:0000177;GO:0000176" "cytoplasmic exosome (RNase complex)" 0.193102086507845
1055 0.0285657442204155 3 11 "GO:0000178;GO:1905354" "exoribonuclease complex" 0.214997440819988
-177 0.595144137998033 6 23 "GO:0000228" "nuclear chromosome" 0.864577101271256
-223 0.495245438268367 2 24 "GO:0000242" "pericentriolar material" 0.825409063780612
945 0.185883635567784 2 5 "GO:0000243" "commitment complex" 0.59748311432502
175 0.743055560415311 2 9 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.935909675332262
-254 0.552590144714736 5 14 "GO:0000324;GO:0000322" "storage vacuole" 0.852124989513378
-494 0.283775974167856 4 12 "GO:0000325" "plant-type vacuole" 0.728259408438991
-419 0.151925040327314 2 30 "GO:0000329" "fungal-type vacuole membrane" 0.52642020159849
339 0.57451154427089 4 7 "GO:0000331" "contractile vacuole" 0.859734761709635
481 0.297494198272978 2 12 "GO:0000407" "phagophore assembly site" 0.730309967627488
709 0.32059918682914 2 5 "GO:0000421" "autophagosome membrane" 0.748568856039737
328 0.238973269393166 3 33 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 0.677658592484665
399 0.212741322406269 3 25 "GO:0000775" "chromosome, centromeric region" 0.632399674745379
116 0.67650328619085 3 33 "GO:0000776" "kinetochore" 0.896898481121359
565 0.0975118136792132 2 22 "GO:0000777" "condensed chromosome kinetochore" 0.453924951877844
751 0.213400655485733 3 7 "GO:0000778" "condensed nuclear chromosome kinetochore" 0.632399674745379
137 0.662911706839374 3 26 "GO:0000781" "chromosome, telomeric region" 0.895388981163682
401 0.0771734371088513 2 50 "GO:0000785" "chromatin" 0.406026294751038
427 0.397774833799794 2 10 "GO:0000786;GO:0044815" "DNA packaging complex" 0.800271475796743
