"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.513336107700928 2 9 "GO:0000109" "nucleotide-excision repair complex" 0.861658031088083
0 0.453428384442253 3 5 "GO:0000118" "histone deacetylase complex" 0.789655172413793
0 0.560514672026092 3 6 "GO:0000138" "Golgi trans cisterna" 0.837155963302752
0 0.0345714795816509 2 193 "GO:0000139" "Golgi membrane" 0.390909090909091
0 0.290749455445823 3 54 "GO:0000151" "ubiquitin ligase complex" 0.753389830508475
0 0.910224749504383 2 7 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 1 3 10 "GO:0000177;GO:0000178;GO:1905354;GO:0000176" "exosome (RNase complex)" 1
0 0.689041829931069 6 19 "GO:0000228" "nuclear chromosome" 0.969834710743802
0 0.404291684914008 2 11 "GO:0000242" "pericentriolar material" 0.821527777777778
0 1 2 5 "GO:0000243" "commitment complex" 1
0 0.873281126579659 2 6 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 1
0 0.726966783139249 5 8 "GO:0000324;GO:0000322" "storage vacuole" 0.966798418972332
0 0.936404458985117 4 8 "GO:0000325" "plant-type vacuole" 1
0 0.100971673614846 2 23 "GO:0000329" "fungal-type vacuole membrane" 0.58
0 0.560514672026092 4 6 "GO:0000331" "contractile vacuole" 0.837155963302752
0 0.448846603714389 3 25 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 0.850955414012739
0 0.252932801559041 3 12 "GO:0000775" "chromosome, centromeric region" 0.642201834862385
0 0.89391842972195 3 25 "GO:0000776" "kinetochore" 1
0 0.617455975161409 2 14 "GO:0000777" "condensed chromosome kinetochore" 0.944394618834081
0 0.777881775708465 3 13 "GO:0000781" "chromosome, telomeric region" 1
0 0.975067342130766 2 41 "GO:0000785" "chromatin" 1
0 0.936404458985117 2 8 "GO:0000786;GO:0044815" "DNA packaging complex" 1
0 0.873281126579659 3 6 "GO:0000791" "euchromatin" 1
