"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0360507196245865 2 193 "GO:0000139" "Golgi membrane" 0.267741935483871
0 0.107811487985696 3 54 "GO:0000151" "ubiquitin ligase complex" 0.402521008403361
0 0.597736019449345 6 19 "GO:0000228" "nuclear chromosome" 0.937878787878788
0 0.0142867734138537 2 11 "GO:0000242" "pericentriolar material" 0.162162162162162
0 0.0259835524641438 2 23 "GO:0000329" "fungal-type vacuole membrane" 0.237254901960784
0 0.0316874599683145 3 25 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 0.261818181818182
0 0.0144389202492685 3 12 "GO:0000775" "chromosome, centromeric region" 0.160526315789474
0 0.777445371222422 3 25 "GO:0000776" "kinetochore" 1
0 0.704454432540274 2 14 "GO:0000777" "condensed chromosome kinetochore" 1
0 0.0373279744962568 3 13 "GO:0000781" "chromosome, telomeric region" 0.254411764705882
0 0.328125011263495 2 41 "GO:0000785" "chromatin" 0.706315789473684
0 0.547943249535853 4 13 "GO:0000793" "condensed chromosome" 0.945833333333333
0 0.388211800500517 3 33 "GO:0000932" "P-body" 0.799004975124378
0 0.0251499890657199 5 20 "GO:0001518;GO:0034706" "sodium channel complex" 0.247916666666667
0 0.323039390684706 2 18 "GO:0001650" "fibrillar center" 0.703174603174603
0 0.16525743130353 2 195 "GO:0005576" "extracellular region" 0.48
0 0.795535639552679 2 13 "GO:0005604" "basement membrane" 1
0 0.0398249115563958 2 125 "GO:0005615" "extracellular space" 0.248611111111111
0 0.42893558353109 2 46 "GO:0005618" "cell wall" 0.845238095238095
0 0.382009246403858 2 32 "GO:0005635" "nuclear envelope" 0.793467336683417
0 0.0238196323606527 2 11 "GO:0005643" "nuclear pore" 0.243478260869565
0 0.150770097867796 2 301 "GO:0005654" "nucleoplasm" 0.465217391304348
0 0.346904170497759 2 33 "GO:0005667" "transcription regulator complex" 0.733333333333333
0 0.681807207707623 3 105 "GO:0005681" "spliceosomal complex" 1
