"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 2 9 "GO:0000109" "nucleotide-excision repair complex" 1
0 0.589714436953157 3 5 "GO:0000118" "histone deacetylase complex" 1
0 1 3 6 "GO:0000138" "Golgi trans cisterna" 1
0 0.980617503852508 2 193 "GO:0000139" "Golgi membrane" 1
0 0.384368202574233 3 54 "GO:0000151" "ubiquitin ligase complex" 1
0 1 2 7 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 1 3 10 "GO:0000177;GO:0000178;GO:1905354;GO:0000176" "exosome (RNase complex)" 1
0 0.620529394911152 6 19 "GO:0000228" "nuclear chromosome" 1
0 0.261804082543179 2 11 "GO:0000242" "pericentriolar material" 1
0 0.589714436953157 2 5 "GO:0000243" "commitment complex" 1
0 1 2 6 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 1
0 1 5 8 "GO:0000324;GO:0000322" "storage vacuole" 1
0 0.75974053116383 4 8 "GO:0000325" "plant-type vacuole" 1
0 0.909395564254845 2 23 "GO:0000329" "fungal-type vacuole membrane" 1
0 0.656727399263922 4 6 "GO:0000331" "contractile vacuole" 1
0 0.932151455055708 3 25 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 1
0 0.882373500766798 3 12 "GO:0000775" "chromosome, centromeric region" 1
0 0.799590910160734 3 25 "GO:0000776" "kinetochore" 1
0 1 2 14 "GO:0000777" "condensed chromosome kinetochore" 1
0 0.148778158564347 3 13 "GO:0000781" "chromosome, telomeric region" 1
0 0.92073367664994 2 41 "GO:0000785" "chromatin" 1
0 0.75974053116383 2 8 "GO:0000786;GO:0044815" "DNA packaging complex" 1
0 1 3 6 "GO:0000791" "euchromatin" 1
0 0.901619845770709 4 13 "GO:0000793" "condensed chromosome" 1
0 0.75974053116383 2 8 "GO:0000794" "condensed nuclear chromosome" 1
0 1 5 6 "GO:0000803" "sex chromosome" 1
0 0.986262504810352 2 24 "GO:0000922" "spindle pole" 1
0 0.923755703554875 3 33 "GO:0000932" "P-body" 1
0 0.0330533872075992 5 20 "GO:0001518;GO:0034706" "sodium channel complex" 0.5
0 1 2 18 "GO:0001650" "fibrillar center" 1
0 1 2 9 "GO:0001669" "acrosomal vesicle" 1
0 0.384289634981324 2 8 "GO:0001726" "ruffle" 1
0 0.384289634981324 2 8 "GO:0001750" "photoreceptor outer segment" 1
0 0.189360143208506 2 5 "GO:0001891" "phagocytic cup" 1
0 0.291495851724025 2 195 "GO:0005576" "extracellular region" 1
0 0.148778158564347 2 13 "GO:0005604" "basement membrane" 1
0 0.47891612626677 2 125 "GO:0005615" "extracellular space" 1
0 0.642046521096326 2 46 "GO:0005618" "cell wall" 1
0 0.762180626996861 -1 16 "GO:0005623" "obsolete cell" 1
0 0.137714669332197 2 32 "GO:0005635" "nuclear envelope" 0.98125
0 0.556920461624635 2 11 "GO:0005643" "nuclear pore" 1
0 0.988617360703473 2 301 "GO:0005654" "nucleoplasm" 1
0 0.182905838593976 2 14 "GO:0005657" "replication fork" 1
0 0.589714436953157 2 5 "GO:0005663" "DNA replication factor C complex" 1
0 1 3 5 "GO:0005665" "RNA polymerase II, core complex" 1
0 0.656727399263922 3 6 "GO:0005666" "RNA polymerase III complex" 1
0 0.979526226703405 2 33 "GO:0005667" "transcription regulator complex" 1
0 1 2 5 "GO:0005680" "anaphase-promoting complex" 1
0 0.999765150768427 3 105 "GO:0005681" "spliceosomal complex" 1
0 0.882373500766798 2 12 "GO:0005682" "U5 snRNP" 1
0 0.960253214412702 2 38 "GO:0005684" "U2-type spliceosomal complex" 1
0 1 2 13 "GO:0005685" "U1 snRNP" 1
0 1 2 10 "GO:0005686" "U2 snRNP" 1
0 0.412739652310318 2 79 "GO:0005694" "chromosome" 1
0 1 2 6 "GO:0005697" "telomerase holoenzyme complex" 1
0 0.998674236433454 3 210 "GO:0005730" "nucleolus" 1
0 0.556920461624635 3 11 "GO:0005732" "sno(s)RNA-containing ribonucleoprotein complex" 1
0 1 2 7 "GO:0005736" "RNA polymerase I complex" 1
0 0.00425729394198462 3 551 "GO:0005739" "mitochondrion" 0.0857142857142857
0 0.962455657426468 3 29 "GO:0005741" "mitochondrial outer membrane" 1
0 0.511184062709076 2 84 "GO:0005743;GO:0019866" "organelle inner membrane" 1
0 0.387283621403498 4 25 "GO:0005758;GO:0031970" "organelle envelope lumen" 1
0 0.0540542298257077 2 60 "GO:0005759" "mitochondrial matrix" 0.57
0 1 3 6 "GO:0005762;GO:0000315" "organellar large ribosomal subunit" 1
0 0.788175895460847 6 121 "GO:0005764;GO:0000323" "lytic vacuole" 1
0 0.455511068597408 4 21 "GO:0005765" "lysosomal membrane" 1
0 0.576919033308411 3 125 "GO:0005768" "endosome" 1
0 0.376404697330772 2 42 "GO:0005769" "early endosome" 1
0 0.959765787160561 2 18 "GO:0005770" "late endosome" 1
0 0.890519858067047 2 187 "GO:0005773" "vacuole" 1
0 0.949790752189161 2 122 "GO:0005774" "vacuolar membrane" 1
0 1 3 10 "GO:0005775" "vacuolar lumen" 1
0 1 4 6 "GO:0005776" "autophagosome" 1
0 0.296558934291379 4 17 "GO:0005778;GO:0031903" "microbody membrane" 1
0 0.75974053116383 2 8 "GO:0005779;GO:0031231" "integral component of peroxisomal membrane" 1
0 0.384289634981324 2 8 "GO:0005782;GO:0031907" "peroxisomal matrix" 1
0 0.725501207099207 2 340 "GO:0005783" "endoplasmic reticulum" 1
0 0.131470598291013 2 95 "GO:0005788" "endoplasmic reticulum lumen" 0.967741935483871
0 0.613423865328049 4 234 "GO:0005789" "endoplasmic reticulum membrane" 1
0 0.589714436953157 4 5 "GO:0005791" "rough endoplasmic reticulum" 1
0 1 3 7 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 1
0 0.39312239685252 3 318 "GO:0005794" "Golgi apparatus" 1
0 1 2 12 "GO:0005795" "Golgi stack" 1
0 0.656727399263922 2 6 "GO:0005796" "Golgi lumen" 1
0 0.75974053116383 3 8 "GO:0005797" "Golgi medial cisterna" 1
0 1 3 6 "GO:0005801" "cis-Golgi network" 1
0 0.931190648577981 3 15 "GO:0005811" "lipid droplet" 1
0 0.939620018366818 3 105 "GO:0005813" "centrosome" 1
0 0.956094083330934 3 46 "GO:0005814" "centriole" 1
0 0.933713892815474 2 161 "GO:0005815" "microtubule organizing center" 1
0 0.831012542358685 3 56 "GO:0005819" "spindle" 1
0 1 2 9 "GO:0005839" "proteasome core complex" 1
0 0.67265858980944 3 80 "GO:0005840" "ribosome" 1
0 1 3 16 "GO:0005844" "polysome" 1
0 1 3 9 "GO:0005849;GO:0005847" "mRNA cleavage factor complex" 1
0 0.998198171076666 4 175 "GO:0005856" "cytoskeleton" 1
0 0.416300969965547 2 20 "GO:0005858" "axonemal dynein complex" 1
0 0.384289634981324 4 8 "GO:0005868" "cytoplasmic dynein complex" 1
0 0.589714436953157 3 5 "GO:0005869" "dynactin complex" 1
0 0.861222949821423 3 51 "GO:0005871" "kinesin complex" 1
0 0.685170480335336 2 158 "GO:0005874;GO:0099513;GO:0099512;GO:0099081" "supramolecular fiber" 1
0 0.467847718763473 2 100 "GO:0005875" "microtubule associated complex" 1
0 1 2 12 "GO:0005876" "spindle microtubule" 1
0 0.859368924658425 4 11 "GO:0005881" "cytoplasmic microtubule" 1
0 0.656727399263922 2 6 "GO:0005884" "actin filament" 1
0 0.443648179952642 2 147 "GO:0005887;GO:0031226" "intrinsic component of plasma membrane" 1
0 0.0146906430486597 2 47 "GO:0005891;GO:0034704" "calcium channel complex" 0.25
0 0.384289634981324 2 8 "GO:0005902" "microvillus" 1
