"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
499 0.573515943984109 5 6 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.838143384087559
-9 0.992416011704084 5 6 "GO:0000026" "alpha-1,2-mannosyltransferase activity" 0.999670993476185
177 0.708601441229299 3 21 "GO:0000030" "mannosyltransferase activity" 0.898359189183911
849 0.00583832566165828 4 50 "GO:0000049" "tRNA binding" 0.104717202825062
-853 0.173567835081933 2 12 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 0.529666288980211
-222 0.80196318711328 3 6 "GO:0000095" "S-adenosyl-L-methionine transmembrane transporter activity" 0.921652939276259
-457 0.506090017113082 4 10 "GO:0000104" "succinate dehydrogenase activity" 0.805060667294299
-414 0.640311248865345 2 6 "GO:0000146" "microfilament motor activity" 0.862164575269979
577 0.159920950531492 2 28 "GO:0000149" "SNARE binding" 0.514554814114686
-52 0.953095720449048 2 6 "GO:0000210" "NAD+ diphosphatase activity" 0.988825729339414
425 0.631584275382738 4 6 "GO:0000215" "tRNA 2'-phosphotransferase activity" 0.862077912359392
800 0.222006797940188 4 11 "GO:0000217" "DNA secondary structure binding" 0.569677958704706
-655 0.424470308161993 2 7 "GO:0000254" "C-4 methylsterol oxidase activity" 0.734760718235236
5 0.979063502212225 2 157 "GO:0000287" "magnesium ion binding" 0.996800159860997
275 0.59097381185126 8 18 "GO:0000295;GO:0005346;GO:0015216;GO:0015215" "purine ribonucleotide transmembrane transporter activity" 0.846553714467904
740 0.366946643013734 4 7 "GO:0000339" "RNA cap binding" 0.6970619027436
2292 0.0052099341390451 2 7 "GO:0000386" "second spliceosomal transesterification activity" 0.0998176018003414
1146 0.237779999104525 2 5 "GO:0000400" "four-way junction DNA binding" 0.581010258681491
1229 0.134212291746366 2 7 "GO:0000702" "oxidized base lesion DNA N-glycosylase activity" 0.479971431339507
1552 0.109846944092551 3 5 "GO:0000822" "inositol hexakisphosphate binding" 0.45349169268075
290 0.29831502255523 5 61 "GO:0000977;GO:0000976;GO:0001067" "transcription regulatory region sequence-specific DNA binding" 0.635049404075906
221 0.514584216881587 2 41 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.812349241256887
865 0.0618309348251486 2 22 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.37128685996319
659 0.032218166406968 2 50 "GO:0000993;GO:0001099;GO:0043175;GO:0001098;GO:0070063" "RNA polymerase binding" 0.292814995344703
-55 0.942750192047686 2 8 "GO:0001046" "core promoter sequence-specific DNA binding" 0.981158533205184
1335 0.132098410366594 2 6 "GO:0001091" "RNA polymerase II general transcription initiation factor binding" 0.479971431339507
503 0.339530586525173 2 17 "GO:0001162;GO:0001161" "RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding" 0.671701536475823
1324 0.17255215452241 4 5 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.529666288980211
379 0.58150596786172 3 10 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 0.846431694501144
-398 0.543304563241312 4 11 "GO:0001540" "amyloid-beta binding" 0.824802477993394
131 0.893066020658253 3 5 "GO:0001618;GO:0140272" "virus receptor activity" 0.961656877560907
-190 0.7931392208351 2 9 "GO:0001653" "peptide receptor activity" 0.921652939276259
-168 0.816812009988935 2 9 "GO:0001664" "G protein-coupled receptor binding" 0.929247671282958
1056 0.059738689695374 2 15 "GO:0001671" "ATPase activator activity" 0.37128685996319
14 0.983303542707836 4 10 "GO:0002020" "protease binding" 0.998904648067544
-1011 0.0626544513624776 2 16 "GO:0002039" "p53 binding" 0.371955651398371
-99 0.918548369303434 3 5 "GO:0002161" "aminoacyl-tRNA editing activity" 0.974494512318109
176 0.0697656148102336 3 538 "GO:0003677" "DNA binding" 0.382502509244743
741 0.147937275778718 4 18 "GO:0003678" "DNA helicase activity" 0.49292934182395
432 0.0525260246851577 2 96 "GO:0003682" "chromatin binding" 0.349670189844952
787 0.0323034336501274 4 35 "GO:0003684" "damaged DNA binding" 0.292814995344703
-460 0.635650756331425 7 5 "GO:0003688" "DNA replication origin binding" 0.862164575269979
1206 0.214162789086827 4 5 "GO:0003689;GO:0033170" "DNA clamp loader activity" 0.569677958704706
326 0.124599225397625 2 106 "GO:0003690" "double-stranded DNA binding" 0.476612205081959
654 0.0487645645323743 4 43 "GO:0003697" "single-stranded DNA binding" 0.339468570283456
506 0.0971932660626557 2 51 "GO:0003700" "DNA-binding transcription factor activity" 0.433512821644544
186 0.538426069598503 2 52 "GO:0003712" "transcription coregulator activity" 0.824802477993394
-426 0.291728833102266 3 29 "GO:0003713" "transcription coactivator activity" 0.630571309123206
834 0.094229662560902 2 19 "GO:0003714" "transcription corepressor activity" 0.429381651561299
1198 0.0979474864059515 7 9 "GO:0003724" "RNA helicase activity" 0.434577531790616
617 0.228337327205525 2 18 "GO:0003725" "double-stranded RNA binding" 0.569677958704706
576 0.0405974562848746 2 60 "GO:0003727" "single-stranded RNA binding" 0.319384710462094
798 5.28349939909064e-07 2 191 "GO:0003729" "mRNA binding" 4.04908181221219e-05
358 0.188698237600461 2 64 "GO:0003730" "mRNA 3'-UTR binding" 0.55027902009402
-79 0.671593139605707 2 139 "GO:0003735" "structural constituent of ribosome" 0.877756615019552
685 0.066196787075096 5 34 "GO:0003743" "translation initiation factor activity" 0.378918903217867
352 0.400448393526364 5 27 "GO:0003746" "translation elongation factor activity" 0.721320503723771
1098 0.109752181887589 5 10 "GO:0003747;GO:0008079" "translation termination factor activity" 0.45349169268075
681 0.00133749671547391 3 106 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.0396873111008298
