"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.564103472778956 2 6 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.856944444444444
0 0.242274660033893 6 6 "GO:0000026" "alpha-1,2-mannosyltransferase activity" 0.736942675159236
0 0.364183740111107 5 20 "GO:0000030" "mannosyltransferase activity" 0.781057268722467
0 0.88885912790374 3 41 "GO:0000049" "tRNA binding" 0.971274685816876
0 0.429767734381074 7 8 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 0.821153846153846
0 1 8 6 "GO:0000146" "microfilament motor activity" 1
0 0.642808921919894 3 18 "GO:0000149" "SNARE binding" 0.932390745501285
0 0.242274660033893 7 6 "GO:0000210" "NAD+ diphosphatase activity" 0.736942675159236
0 0.823171551580769 4 5 "GO:0000215" "tRNA 2'-phosphotransferase activity" 0.932156862745098
0 0.968792287614547 5 10 "GO:0000217" "DNA secondary structure binding" 0.989756097560976
0 0.456827201863935 5 5 "GO:0000254" "C-4 methylsterol oxidase activity" 0.761872909698997
0 0.23536779056687 2 113 "GO:0000287" "magnesium ion binding" 0.781560283687943
0 0.779871315547089 5 17 "GO:0000295;GO:0005346;GO:0015216;GO:0015215" "purine nucleotide transmembrane transporter activity" 0.979074889867841
0 0.242274660033893 4 6 "GO:0000339" "RNA cap binding" 0.736942675159236
0 0.823171551580769 3 5 "GO:0000386" "second spliceosomal transesterification activity" 0.932156862745098
0 0.823171551580769 2 5 "GO:0000400" "four-way junction DNA binding" 0.932156862745098
0 0.655155714407279 2 7 "GO:0000702" "oxidized base lesion DNA N-glycosylase activity" 0.90958230958231
0 0.0506968927819231 2 40 "GO:0000977;GO:0000976;GO:0001067" "transcription regulatory region sequence-specific DNA binding" 0.416666666666667
0 0.110977688500186 2 29 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.611538461538462
0 0.994502977827175 3 15 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 1
0 0.0619781398697851 4 38 "GO:0000993;GO:0001099;GO:0043175;GO:0001098;GO:0070063" "RNA polymerase binding" 0.458928571428571
0 0.874985167341132 3 6 "GO:0001091" "RNA polymerase II general transcription initiation factor binding" 0.964598540145985
0 0.0433756603885902 3 15 "GO:0001162;GO:0001161" "RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding" 0.413333333333333
0 0.874985167341132 2 6 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.964598540145985
0 0.839311720585827 2 10 "GO:0001540" "amyloid-beta binding" 0.942911877394636
0 0.823171551580769 3 5 "GO:0001618;GO:0140272" "virus receptor activity" 0.932156862745098
0 0.456827201863935 2 5 "GO:0001653" "peptide receptor activity" 0.761872909698997
0 0.730285041082681 2 8 "GO:0001671" "ATPase activator activity" 0.939455782312925
0 0.32390477015931 3 13 "GO:0002039" "p53 binding" 0.775121951219512
0 0.975520632038164 3 409 "GO:0003677" "DNA binding" 0.993851132686084
0 0.781577079585155 2 13 "GO:0003678" "DNA helicase activity" 0.976973684210526
0 0.898627211012327 2 73 "GO:0003682" "chromatin binding" 0.984601769911504
0 0.389947501820545 2 27 "GO:0003684" "damaged DNA binding" 0.845299145299145
0 0.823171551580769 2 5 "GO:0003689;GO:0033170" "DNA clamp loader activity" 0.932156862745098
0 0.306211416248482 5 77 "GO:0003690" "double-stranded DNA binding" 0.773604060913706
0 0.640194172182849 5 36 "GO:0003697" "single-stranded DNA binding" 0.935658914728682
0 0.921037294285297 2 39 "GO:0003700" "DNA-binding transcription factor activity" 0.980445969125214
0 0.0953955176992308 2 40 "GO:0003712" "transcription coregulator activity" 0.587671232876712
0 0.0069601699121562 3 21 "GO:0003713" "transcription coactivator activity" 0.344444444444444
0 0.68185395966991 2 15 "GO:0003714" "transcription corepressor activity" 0.916190476190476
0 0.459534623854074 3 15 "GO:0003725" "double-stranded RNA binding" 0.767441860465116
0 0.871282903540192 3 44 "GO:0003727" "single-stranded RNA binding" 0.995627376425856
0 0.999333642472767 3 135 "GO:0003729" "mRNA binding" 1
0 0.984319423683047 5 43 "GO:0003730" "mRNA 3'-UTR binding" 0.994711538461538
0 0.999999998287002 2 122 "GO:0003735" "structural constituent of ribosome" 0.999053627760252
0 0.581440621132325 3 24 "GO:0003743" "translation initiation factor activity" 0.867493112947658
0 0.420243426624254 3 21 "GO:0003746" "translation elongation factor activity" 0.84331983805668
0 0.839311720585827 6 10 "GO:0003747;GO:0008079" "translation release factor activity" 0.942911877394636
0 0.965508154613351 2 81 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.991980360065467
0 0.24846855124779 4 24 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.736024844720497
0 0.890786048259142 2 99 "GO:0003777;GO:0003774" "motor activity" 0.970818505338078
0 0.544520487866295 4 51 "GO:0003779" "actin binding" 0.870658682634731
0 0.823171551580769 2 5 "GO:0003886" "DNA (cytosine-5-)-methyltransferase activity" 0.932156862745098
0 0.0420729325085752 4 10 "GO:0003887;GO:0034061" "DNA polymerase activity" 0.438095238095238
0 1 2 5 "GO:0003896" "DNA primase activity" 1
0 0.975839934784998 3 22 "GO:0003899;GO:0034062;GO:0097747" "5'-3' RNA polymerase activity" 0.990645161290323
0 1 3 7 "GO:0003909;GO:0016886" "ligase activity, forming phosphoric ester bonds" 1
0 0.823171551580769 3 5 "GO:0003913" "DNA photolyase activity" 0.932156862745098
0 0.730285041082681 4 8 "GO:0003917;GO:0003916" "DNA topoisomerase activity" 0.939455782312925
0 0.532617699924776 7 61 "GO:0003924" "GTPase activity" 0.862462462462462
0 0.198340006966449 5 35 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.734883720930233
0 0.456827201863935 2 5 "GO:0003954" "NADH dehydrogenase activity" 0.761872909698997
0 0.880149772087526 6 20 "GO:0003993" "acid phosphatase activity" 0.95956678700361
0 0.823171551580769 4 5 "GO:0003995" "acyl-CoA dehydrogenase activity" 0.932156862745098
0 1 4 5 "GO:0004000" "adenosine deaminase activity" 1
0 0.92954272896855 3 13 "GO:0004016" "adenylate cyclase activity" 0.992662116040956
0 0.456827201863935 2 5 "GO:0004017" "adenylate kinase activity" 0.761872909698997
0 0.153511922373661 6 5 "GO:0004022;GO:0018455" "alcohol dehydrogenase (NAD+) activity" 0.636448598130841
0 0.0523726710164884 7 8 "GO:0004032" "alditol:NADP+ 1-oxidoreductase activity" 0.43265306122449
0 0.205705029724154 3 20 "GO:0004033" "aldo-keto reductase (NADP) activity" 0.718978102189781
0 0.564103472778956 3 6 "GO:0004045" "aminoacyl-tRNA hydrolase activity" 0.856944444444444
0 0.153511922373661 2 5 "GO:0004069" "L-aspartate:2-oxoglutarate aminotransferase activity" 0.636448598130841
0 0.517761093387183 5 9 "GO:0004089" "carbonate dehydratase activity" 0.867283950617284
0 0.456827201863935 2 5 "GO:0004104" "cholinesterase activity" 0.761872909698997
0 0.668531317522085 2 11 "GO:0004114;GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 0.907951807228916
0 0.823171551580769 2 5 "GO:0004127" "cytidylate kinase activity" 0.932156862745098
0 0.180981425919945 2 8 "GO:0004128;GO:0016653" "oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor" 0.720491803278689
0 0.0647491847134292 3 6 "GO:0004144" "diacylglycerol O-acyltransferase activity" 0.455737704918033
0 0.950923842141634 4 171 "GO:0004175" "endopeptidase activity" 0.9945
0 0.823171551580769 2 5 "GO:0004176" "ATP-dependent peptidase activity" 0.932156862745098
0 0.438393893462521 2 18 "GO:0004177" "aminopeptidase activity" 0.810486891385768
0 0.498245140533373 2 19 "GO:0004180" "carboxypeptidase activity" 0.854113924050633
0 0.257224186945394 2 12 "GO:0004181" "metallocarboxypeptidase activity" 0.69608938547486
0 0.874985167341132 3 6 "GO:0004185" "serine-type carboxypeptidase activity" 0.964598540145985
0 0.977160380448719 2 32 "GO:0004190;GO:0070001" "aspartic-type peptidase activity" 0.990821256038647
0 0.677378239766557 5 55 "GO:0004197" "cysteine-type endopeptidase activity" 0.910576923076923
0 0.287074225183346 2 28 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.755555555555556
0 0.849118997125915 2 39 "GO:0004222" "metalloendopeptidase activity" 0.975763358778626
0 0.437092158783003 2 38 "GO:0004252" "serine-type endopeptidase activity" 0.820912547528517
0 1 2 11 "GO:0004298;GO:0070003" "threonine-type peptidase activity" 1
0 0.874985167341132 5 6 "GO:0004300" "enoyl-CoA hydratase activity" 0.964598540145985
0 0.959246620619925 5 20 "GO:0004312" "fatty acid synthase activity" 0.98995057660626
0 0.946976021617321 2 14 "GO:0004315" "3-oxoacyl-[acyl-carrier-protein] synthase activity" 0.990317195325543
0 1 7 5 "GO:0004338" "glucan exo-1,3-beta-glucosidase activity" 1
0 0.955844230911676 3 9 "GO:0004356;GO:0016211;GO:0016880" "acid-ammonia (or amide) ligase activity" 0.989108910891089
0 0.257224186945394 3 12 "GO:0004364" "glutathione transferase activity" 0.69608938547486
0 1 2 5 "GO:0004376" "glycolipid mannosyltransferase activity" 1
0 0.965508154613351 2 81 "GO:0004386" "helicase activity" 0.991980360065467
0 0.564103472778956 4 6 "GO:0004402;GO:0061733" "histone acetyltransferase activity" 0.856944444444444
0 0.556705391275361 2 13 "GO:0004407;GO:0017136" "histone deacetylase activity" 0.883529411764706
0 1 4 5 "GO:0004427" "inorganic diphosphatase activity" 1
0 0.203336143269012 3 57 "GO:0004497" "monooxygenase activity" 0.730827067669173
0 0.257224186945394 2 12 "GO:0004499" "N,N-dimethylaniline monooxygenase activity" 0.69608938547486
0 0.408861379674387 2 121 "GO:0004518" "nuclease activity" 0.84238683127572
0 0.752760188923739 2 65 "GO:0004519" "endonuclease activity" 0.942666666666667
0 0.79392694424562 4 33 "GO:0004520;GO:0004536" "deoxyribonuclease activity" 0.960341151385927
0 0.817763221236438 2 26 "GO:0004521" "endoribonuclease activity" 0.987076271186441
0 0.27270539707636 5 66 "GO:0004527;GO:0008408" "exonuclease activity" 0.741988950276243
0 0.823171551580769 2 5 "GO:0004528" "phosphodiesterase I activity" 0.932156862745098
0 0.0829169162781197 2 14 "GO:0004535" "poly(A)-specific ribonuclease activity" 0.569565217391304
0 0.323953511624722 3 58 "GO:0004540" "ribonuclease activity" 0.771359223300971
0 0.823171551580769 2 5 "GO:0004549" "tRNA-specific ribonuclease activity" 0.932156862745098
0 0.456827201863935 3 5 "GO:0004550" "nucleoside diphosphate kinase activity" 0.761872909698997
0 0.137890943209038 4 10 "GO:0004551" "nucleotide diphosphatase activity" 0.653260869565217
0 0.244797455469408 2 120 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.737106918238994
0 0.153511922373661 6 5 "GO:0004556;GO:0016160;GO:0103025" "alpha-amylase activity" 0.636448598130841
0 0.874985167341132 6 6 "GO:0004563;GO:0015929;GO:0102148" "hexosaminidase activity" 0.964598540145985
0 0.823171551580769 2 5 "GO:0004565" "beta-galactosidase activity" 0.932156862745098
0 0.456827201863935 2 5 "GO:0004576" "oligosaccharyl transferase activity" 0.761872909698997
0 0.524633195080583 3 16 "GO:0004597" "peptide-aspartate beta-dioxygenase activity" 0.858181818181818
0 0.25507662198841 3 18 "GO:0004601;GO:0016684" "oxidoreductase activity, acting on peroxide as acceptor" 0.725443786982249
0 0.823171551580769 2 5 "GO:0004618" "phosphoglycerate kinase activity" 0.932156862745098
0 0.0837378534095464 3 25 "GO:0004620" "phospholipase activity" 0.562857142857143
0 1 2 6 "GO:0004622" "lysophospholipase activity" 1
0 0.00971581759569343 5 6 "GO:0004623" "phospholipase A2 activity" 0.28
0 0.564103472778956 5 6 "GO:0004647;GO:0033613" "activating transcription factor binding" 0.856944444444444
0 0.429767734381074 5 8 "GO:0004652" "polynucleotide adenylyltransferase activity" 0.821153846153846
0 0.00971581759569343 3 6 "GO:0004653" "polypeptide N-acetylgalactosaminyltransferase activity" 0.28
0 0.252064367084813 4 21 "GO:0004656;GO:0019798" "procollagen-proline dioxygenase activity" 0.740740740740741
0 0.00986165642584881 3 8 "GO:0004659" "prenyltransferase activity" 0.2875
0 0.304433635500581 2 296 "GO:0004674;GO:0004672" "protein kinase activity" 0.778461538461539
0 0.646220272980732 3 54 "GO:0004683" "calmodulin-dependent protein kinase activity" 0.929667519181586
0 0.694438843843652 5 19 "GO:0004690" "cyclic nucleotide-dependent protein kinase activity" 0.931442080378251
0 0.564103472778956 2 6 "GO:0004691" "cAMP-dependent protein kinase activity" 0.856944444444444
0 0.331041065142066 3 10 "GO:0004693;GO:0097472" "cyclin-dependent protein serine/threonine kinase activity" 0.773333333333333
0 0.955844230911676 3 9 "GO:0004707" "MAP kinase activity" 0.989108910891089
0 0.153511922373661 5 5 "GO:0004709" "MAP kinase kinase kinase activity" 0.636448598130841
0 0.55570002642863 2 20 "GO:0004712" "protein serine/threonine/tyrosine kinase activity" 0.893731343283582
0 0.117515515181458 2 15 "GO:0004713" "protein tyrosine kinase activity" 0.595348837209302
0 0.396459993465688 2 97 "GO:0004721" "phosphoprotein phosphatase activity" 0.838075313807531
0 0.341505851525316 3 52 "GO:0004722" "protein serine/threonine phosphatase activity" 0.754298642533937
0 0.581440621132325 6 24 "GO:0004724" "magnesium-dependent protein serine/threonine phosphatase activity" 0.867493112947658
0 0.908176716053046 3 34 "GO:0004725;GO:0008138" "protein tyrosine phosphatase activity" 0.980453752181501
0 0.839311720585827 4 10 "GO:0004740" "pyruvate dehydrogenase (acetyl-transferring) kinase activity" 0.942911877394636
0 0.429767734381074 3 8 "GO:0004766" "spermidine synthase activity" 0.821153846153846
0 0.331041065142066 5 10 "GO:0004806" "triglyceride lipase activity" 0.773333333333333
0 0.609882666350381 3 21 "GO:0004812;GO:0016875" "aminoacyl-tRNA ligase activity" 0.912631578947368
0 0.807988475838484 3 155 "GO:0004842;GO:0019787" "ubiquitin-like protein transferase activity" 0.966242038216561
0 0.495519202971052 2 36 "GO:0004857" "enzyme inhibitor activity" 0.852076677316294
0 0.33647286870815 2 7 "GO:0004860;GO:0019210" "protein kinase inhibitor activity" 0.754337899543379
0 0.556705391275361 3 13 "GO:0004866;GO:0030414;GO:0061135;GO:0061134" "peptidase regulator activity" 0.883529411764706
0 0.33647286870815 2 7 "GO:0004869" "cysteine-type endopeptidase inhibitor activity" 0.754337899543379
0 0.308716191475674 2 19 "GO:0004888" "transmembrane signaling receptor activity" 0.774747474747475
0 0.747793124528709 2 24 "GO:0005048" "signal sequence binding" 0.940534521158129
0 0.485074430931961 2 12 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.831168831168831
0 0.79392694424562 2 33 "GO:0005096" "GTPase activator activity" 0.960341151385927
0 0.449281330030706 3 72 "GO:0005102" "signaling receptor binding" 0.808823529411765
0 0.456827201863935 2 5 "GO:0005112" "Notch binding" 0.761872909698997
0 0.116677048468217 2 7 "GO:0005126" "cytokine receptor binding" 0.6
0 0.999784115166676 1 218 "GO:0005198" "structural molecule activity" 1
0 0.960246913184998 2 15 "GO:0005201" "extracellular matrix structural constituent" 0.988013136288998
0 0.257071334790498 3 15 "GO:0005217" "intracellular ligand-gated ion channel activity" 0.723255813953488
0 0.194395317335248 5 11 "GO:0005222;GO:0005221;GO:0043855" "intracellular cAMP-activated cation channel activity" 0.738582677165354
0 0.438393893462521 2 18 "GO:0005227;GO:0022839" "ion gated channel activity" 0.810486891385768
0 0.33647286870815 3 7 "GO:0005230" "extracellular ligand-gated ion channel activity" 0.754337899543379
0 0.053804837192018 4 46 "GO:0005245" "voltage-gated calcium channel activity" 0.438
0 0.79100616899568 4 9 "GO:0005246" "calcium channel regulator activity" 0.966666666666667
0 0.242274660033893 5 6 "GO:0005247;GO:0008308" "voltage-gated chloride channel activity" 0.736942675159236
0 0.364999336740418 2 33 "GO:0005248;GO:0005272" "sodium channel activity" 0.785964912280702
0 0.0127689052833204 2 15 "GO:0005251" "delayed rectifier potassium channel activity" 0.370588235294118
0 0.0433756603885902 4 15 "GO:0005254;GO:0005253;GO:0015108" "chloride transmembrane transporter activity" 0.413333333333333
0 0.0258785062975634 3 183 "GO:0005261;GO:0005216;GO:0015267;GO:0022803;GO:0022836" "passive transmembrane transporter activity" 0.424
0 0.0278733109228975 2 66 "GO:0005262;GO:0015085" "calcium ion transmembrane transporter activity" 0.45
0 0.157627034900977 2 52 "GO:0005267;GO:0005249" "potassium channel activity" 0.634862385321101
0 0.823171551580769 2 5 "GO:0005302" "L-tyrosine transmembrane transporter activity" 0.932156862745098
0 0.0420729325085752 2 10 "GO:0005315" "inorganic phosphate transmembrane transporter activity" 0.438095238095238
0 0.438676948648692 2 28 "GO:0005319" "lipid transporter activity" 0.802222222222222
0 0.456827201863935 2 5 "GO:0005324" "long-chain fatty acid transporter activity" 0.761872909698997
0 0.874985167341132 2 6 "GO:0005344" "oxygen carrier activity" 0.964598540145985
0 0.242274660033893 2 6 "GO:0005351;GO:0005402" "carbohydrate:cation symporter activity" 0.736942675159236
0 0.116677048468217 3 7 "GO:0005432;GO:0015368" "calcium:cation antiporter activity" 0.6
