"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.213231948974607 2 20 "GO:0000030" "mannosyltransferase activity" 0.540316205533597
0 0.896367830883069 5 41 "GO:0000049" "tRNA binding" 1
0 0.0974741493702135 3 8 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 0.388095238095238
0 0.176153070433918 2 18 "GO:0000149" "SNARE binding" 0.493562231759657
0 0.253927849023037 2 113 "GO:0000287" "magnesium ion binding" 0.597463768115942
0 0.704925476690997 4 17 "GO:0000295;GO:0005346;GO:0015216;GO:0015215" "purine nucleotide transmembrane transporter activity" 0.956224066390041
0 0.0413022366784448 3 40 "GO:0000977;GO:0000976;GO:0001067" "regulatory region nucleic acid binding" 0.259047619047619
0 0.035835053457177 7 29 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.241414141414141
0 0.04170542338042 2 38 "GO:0000993;GO:0001099;GO:0043175;GO:0001098;GO:0070063" "RNA polymerase binding" 0.258490566037736
0 0.030930307734749 2 15 "GO:0001162;GO:0001161" "RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding" 0.238636363636364
0 0.0891028729874906 2 13 "GO:0002039" "p53 binding" 0.360122699386503
0 0.998361240680768 3 409 "GO:0003677" "DNA binding" 1
0 0.334485559192903 3 13 "GO:0003678" "DNA helicase activity" 0.667584097859327
0 0.624688870578034 2 73 "GO:0003682" "chromatin binding" 0.866522678185745
0 0.381188487071249 2 27 "GO:0003684" "damaged DNA binding" 0.72231884057971
0 0.415463079898075 2 77 "GO:0003690" "double-stranded DNA binding" 0.762816901408451
0 0.791097883046193 2 36 "GO:0003697" "single-stranded DNA binding" 0.972523364485981
0 0.785120647502046 2 39 "GO:0003700" "DNA-binding transcription factor activity" 0.967977528089888
0 0.0778892337234333 2 40 "GO:0003712" "transcription coregulator activity" 0.342384105960265
0 0.00894120308977079 3 21 "GO:0003713" "transcription coactivator activity" 0.112765957446809
0 0.592145008839298 2 15 "GO:0003714" "transcription corepressor activity" 0.877931034482759
0 0.607848604665352 2 15 "GO:0003725" "double-stranded RNA binding" 0.893150684931507
0 0.883877310452271 5 44 "GO:0003727" "single-stranded RNA binding" 1
0 0.975813628430251 2 135 "GO:0003729" "mRNA binding" 1
0 0.798357397750754 5 43 "GO:0003730" "mRNA 3'-UTR binding" 0.972356215213358
0 0.580148834330872 2 122 "GO:0003735" "structural constituent of ribosome" 0.890973871733967
0 0.438253958336105 2 24 "GO:0003743" "translation initiation factor activity" 0.79366391184573
0 0.139900892549851 2 21 "GO:0003746" "translation elongation factor activity" 0.481122448979592
0 0.450218562863798 2 81 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.778157894736842
0 0.166140014932034 4 24 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.488
0 0.643767727965481 2 99 "GO:0003777;GO:0003774" "motor activity" 0.89656652360515
0 0.778054885777987 2 51 "GO:0003779" "actin binding" 1
0 0.130062374647644 2 10 "GO:0003887;GO:0034061" "DNA polymerase activity" 0.464516129032258
0 0.796066626803432 3 22 "GO:0003899;GO:0034062;GO:0097747" "RNA polymerase activity" 0.973929236499069
0 0.522607220832687 2 61 "GO:0003924" "GTPase activity" 0.824757281553398
0 0.000349410804082607 2 35 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0
0 0.113230401128398 2 20 "GO:0003993" "acid phosphatase activity" 0.433142857142857
0 0.0137179848801442 2 5 "GO:0003995" "acyl-CoA dehydrogenase activity" 0.138333333333333
0 0.439570153644525 3 13 "GO:0004016" "adenylate cyclase activity" 0.795054945054945
0 0.0656695158908699 3 8 "GO:0004032" "alditol:NADP+ 1-oxidoreductase activity" 0.313768115942029
0 0.244431840274238 5 20 "GO:0004033" "aldo-keto reductase (NADP) activity" 0.588059701492537
0 0.00316324224792649 2 5 "GO:0004069" "L-aspartate:2-oxoglutarate aminotransferase activity" 0.0555555555555556
0 0.24708906252978 3 11 "GO:0004114;GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 0.586764705882353
0 0.0122053111949587 2 8 "GO:0004128;GO:0016653" "oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor" 0.132142857142857
0 0.315990460077965 2 171 "GO:0004175" "endopeptidase activity" 0.645794392523365
0 0.173724056089059 2 18 "GO:0004177" "aminopeptidase activity" 0.493913043478261
0 0.159929937541364 2 19 "GO:0004180" "carboxypeptidase activity" 0.477477477477477
0 0.0679983263610516 3 12 "GO:0004181" "metallocarboxypeptidase activity" 0.319858156028369
0 0.821123064257685 2 32 "GO:0004190;GO:0070001" "aspartic-type peptidase activity" 0.988602941176471
0 0.0650100455951136 2 55 "GO:0004197" "cysteine-type endopeptidase activity" 0.315441176470588
0 0.00507886607468652 4 28 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.0939393939393939
0 0.624699341877998 3 39 "GO:0004222" "metalloendopeptidase activity" 0.864655172413793
0 0.0275049973623675 3 38 "GO:0004252" "serine-type endopeptidase activity" 0.22289156626506
0 0.858676123489538 2 20 "GO:0004312" "fatty acid synthase activity" 1
0 0.0113741695134368 4 12 "GO:0004364" "glutathione transferase activity" 0.124528301886792
0 0.769033456526736 2 81 "GO:0004386" "helicase activity" 1
0 0.0472148035107201 6 6 "GO:0004402;GO:0061733" "peptide-lysine-N-acetyltransferase activity" 0.264347826086957
0 0.0278856104125209 3 57 "GO:0004497" "monooxygenase activity" 0.220238095238095
0 0.137313937155003 2 12 "GO:0004499" "N,N-dimethylaniline monooxygenase activity" 0.475129533678756
0 0.399299289035126 2 121 "GO:0004518" "nuclease activity" 0.742209631728045
0 0.419535999326062 4 65 "GO:0004519" "endonuclease activity" 0.766106442577031
0 0.624158915806551 4 33 "GO:0004520;GO:0004536" "deoxyribonuclease activity" 0.867965367965368
0 0.378272922164245 2 26 "GO:0004521" "endoribonuclease activity" 0.723684210526316
0 0.374517318028619 5 66 "GO:0004527;GO:0008408" "exonuclease activity" 0.72
0 0.091801673173471 3 14 "GO:0004535" "poly(A)-specific ribonuclease activity" 0.372121212121212
0 0.205950082701056 3 58 "GO:0004540" "ribonuclease activity" 0.532
0 0.017729875988237 2 10 "GO:0004551" "nucleotide diphosphatase activity" 0.174626865671642
0 0.0626687419269065 3 120 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.311450381679389
0 0.0613535394019553 2 16 "GO:0004597" "peptide-aspartate beta-dioxygenase activity" 0.312403100775194
0 0.000233743593073249 3 18 "GO:0004601;GO:0016684" "oxidoreductase activity, acting on peroxide as acceptor" 0
0 0.00639547013158586 2 25 "GO:0004620" "phospholipase activity" 0.0894736842105263
0 0.00638434516014943 5 6 "GO:0004623" "phospholipase A2 activity" 0.0918918918918919
0 0.256509278275382 6 8 "GO:0004652" "polynucleotide adenylyltransferase activity" 0.599280575539568
0 0.0354950559814275 2 6 "GO:0004653" "polypeptide N-acetylgalactosaminyltransferase activity" 0.248958333333333
