"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 2 6 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 1
0 0.35282614426803 6 6 "GO:0000026" "alpha-1,2-mannosyltransferase activity" 1
0 0.384852705090648 5 20 "GO:0000030" "mannosyltransferase activity" 1
0 0.45943242280072 3 41 "GO:0000049" "tRNA binding" 1
0 0.50653340013116 7 8 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 1
0 0.102898413639912 8 6 "GO:0000146" "microfilament motor activity" 0.980851063829787
0 0.90689167711488 3 18 "GO:0000149" "SNARE binding" 1
0 1 7 6 "GO:0000210" "NAD+ diphosphatase activity" 1
0 0.679235749492906 4 5 "GO:0000215" "tRNA 2'-phosphotransferase activity" 1
0 0.634392200532129 5 10 "GO:0000217" "DNA secondary structure binding" 1
0 1 5 5 "GO:0000254" "C-4 methylsterol oxidase activity" 1
0 0.628766569457209 2 113 "GO:0000287" "magnesium ion binding" 1
0 0.888394696173932 5 17 "GO:0000295;GO:0005346;GO:0015216;GO:0015215" "purine nucleotide transmembrane transporter activity" 1
0 0.74451767053788 4 6 "GO:0000339" "RNA cap binding" 1
0 1 3 5 "GO:0000386" "second spliceosomal transesterification activity" 1
0 1 2 5 "GO:0000400" "four-way junction DNA binding" 1
0 0.153679609844314 2 7 "GO:0000702" "oxidized base lesion DNA N-glycosylase activity" 1
0 0.85172174081303 2 40 "GO:0000977;GO:0000976;GO:0001067" "transcription regulatory region sequence-specific DNA binding" 1
0 0.554750498334268 2 29 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 1
0 0.172643178189945 3 15 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 1
0 0.678787483016744 4 38 "GO:0000993;GO:0001099;GO:0043175;GO:0001098;GO:0070063" "RNA polymerase binding" 1
0 0.74451767053788 3 6 "GO:0001091" "RNA polymerase II general transcription initiation factor binding" 1
0 0.967114928162418 3 15 "GO:0001162;GO:0001161" "RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding" 1
0 0.102898413639912 2 6 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.980851063829787
0 0.634392200532129 2 10 "GO:0001540" "amyloid-beta binding" 1
0 0.679235749492906 3 5 "GO:0001618;GO:0140272" "virus receptor activity" 1
0 0.679235749492906 2 5 "GO:0001653" "peptide receptor activity" 1
0 0.50653340013116 2 8 "GO:0001671" "ATPase activator activity" 1
0 0.775498720185645 3 13 "GO:0002039" "p53 binding" 1
0 0.00053449832071744 3 409 "GO:0003677" "DNA binding" 0
0 0.948119657450671 2 13 "GO:0003678" "DNA helicase activity" 1
0 0.528737019956222 2 73 "GO:0003682" "chromatin binding" 1
0 0.166124677538785 2 27 "GO:0003684" "damaged DNA binding" 1
0 0.679235749492906 2 5 "GO:0003689;GO:0033170" "DNA clamp loader activity" 1
0 0.137308169029954 5 77 "GO:0003690" "double-stranded DNA binding" 1
0 0.453979190376897 5 36 "GO:0003697" "single-stranded DNA binding" 1
0 0.257748198021401 2 39 "GO:0003700" "DNA-binding transcription factor activity" 1
0 0.931644731319699 2 40 "GO:0003712" "transcription coregulator activity" 1
0 0.946587072009412 3 21 "GO:0003713" "transcription coactivator activity" 1
0 0.840803715839266 2 15 "GO:0003714" "transcription corepressor activity" 1
0 0.614657263629988 3 15 "GO:0003725" "double-stranded RNA binding" 1
0 0.552205913952093 3 44 "GO:0003727" "single-stranded RNA binding" 1
0 0.0437964773144975 3 135 "GO:0003729" "mRNA binding" 0.576923076923077
0 0.00771969927276681 5 43 "GO:0003730" "mRNA 3'-UTR binding" 0.192307692307692
0 4.72138904379034e-27 2 122 "GO:0003735" "structural constituent of ribosome" 0
0 0.749568959003182 3 24 "GO:0003743" "translation initiation factor activity" 1
0 0.644254366243606 3 21 "GO:0003746" "translation elongation factor activity" 1
0 0.0349034025692721 6 10 "GO:0003747;GO:0008079" "translation release factor activity" 0.526086956521739
0 0.793194113726645 2 81 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 1
0 0.969815950519716 4 24 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 1
0 0.195862320154162 2 99 "GO:0003777;GO:0003774" "motor activity" 1
0 0.336031549244385 4 51 "GO:0003779" "actin binding" 1
0 0.269516900725324 2 5 "GO:0003886" "DNA (cytosine-5-)-methyltransferase activity" 1
0 0.897233257424706 4 10 "GO:0003887;GO:0034061" "DNA polymerase activity" 1
0 0.679235749492906 2 5 "GO:0003896" "DNA primase activity" 1
0 0.0220863235586289 3 22 "GO:0003899;GO:0034062;GO:0097747" "5'-3' RNA polymerase activity" 0.410526315789474
0 0.432484758037517 3 7 "GO:0003909;GO:0016886" "ligase activity, forming phosphoric ester bonds" 1
