"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.671555190390018 2 6 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 1
0 1 6 6 "GO:0000026" "alpha-1,2-mannosyltransferase activity" 1
0 0.876157209017918 5 20 "GO:0000030" "mannosyltransferase activity" 1
0 0.934138341872569 3 41 "GO:0000049" "tRNA binding" 1
0 0.403549319534054 7 8 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 1
0 0.269513865732173 8 6 "GO:0000146" "microfilament motor activity" 0.97007874015748
0 0.834787613755023 3 18 "GO:0000149" "SNARE binding" 1
0 0.671555190390018 7 6 "GO:0000210" "NAD+ diphosphatase activity" 1
0 1 4 5 "GO:0000215" "tRNA 2'-phosphotransferase activity" 1
0 0.524744862761491 5 10 "GO:0000217" "DNA secondary structure binding" 1
0 0.604548302947044 5 5 "GO:0000254" "C-4 methylsterol oxidase activity" 1
0 0.882272030915312 2 113 "GO:0000287" "magnesium ion binding" 1
0 0.809718944060948 5 17 "GO:0000295;GO:0005346;GO:0015216;GO:0015215" "purine nucleotide transmembrane transporter activity" 1
0 1 4 6 "GO:0000339" "RNA cap binding" 1
0 1 3 5 "GO:0000386" "second spliceosomal transesterification activity" 1
0 0.604548302947044 2 5 "GO:0000400" "four-way junction DNA binding" 1
0 1 2 7 "GO:0000702" "oxidized base lesion DNA N-glycosylase activity" 1
0 0.999417776794642 2 40 "GO:0000977;GO:0000976;GO:0001067" "transcription regulatory region sequence-specific DNA binding" 1
0 0.99545687099967 2 29 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 1
0 1 3 15 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 1
0 0.999153804348847 4 38 "GO:0000993;GO:0001099;GO:0043175;GO:0001098;GO:0070063" "RNA polymerase binding" 1
0 1 3 6 "GO:0001091" "RNA polymerase II general transcription initiation factor binding" 1
0 1 3 15 "GO:0001162;GO:0001161" "RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding" 1
0 1 2 6 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 1
0 0.231989884187481 2 10 "GO:0001540" "amyloid-beta binding" 0.881651376146789
0 1 3 5 "GO:0001618;GO:0140272" "virus receptor activity" 1
0 0.604548302947044 2 5 "GO:0001653" "peptide receptor activity" 1
0 0.773457056948261 2 8 "GO:0001671" "ATPase activator activity" 1
0 0.164623126600397 3 13 "GO:0002039" "p53 binding" 0.793243243243243
0 0.980622911280074 3 409 "GO:0003677" "DNA binding" 1
0 0.672939117597211 2 13 "GO:0003678" "DNA helicase activity" 1
0 0.974386211029162 2 73 "GO:0003682" "chromatin binding" 1
0 0.993402686292007 2 27 "GO:0003684" "damaged DNA binding" 1
0 1 2 5 "GO:0003689;GO:0033170" "DNA clamp loader activity" 1
0 0.999920039307058 5 77 "GO:0003690" "double-stranded DNA binding" 1
0 0.881256612297015 5 36 "GO:0003697" "single-stranded DNA binding" 1
0 0.971726781818649 2 39 "GO:0003700" "DNA-binding transcription factor activity" 1
0 0.999417776794642 2 40 "GO:0003712" "transcription coregulator activity" 1
0 0.979816249556229 3 21 "GO:0003713" "transcription coactivator activity" 1
0 1 2 15 "GO:0003714" "transcription corepressor activity" 1
0 0.938335451040475 3 15 "GO:0003725" "double-stranded RNA binding" 1
0 0.888021327399986 3 44 "GO:0003727" "single-stranded RNA binding" 1
0 0.999893287696235 3 135 "GO:0003729" "mRNA binding" 1
0 0.984049980774065 5 43 "GO:0003730" "mRNA 3'-UTR binding" 1
0 0.845185335145115 2 122 "GO:0003735" "structural constituent of ribosome" 1
0 0.988458567254254 3 24 "GO:0003743" "translation initiation factor activity" 1
0 0.715672660309041 3 21 "GO:0003746" "translation elongation factor activity" 1
