,kMEbrown
isogroupSym_100008_c0_g2,-0.305825141714859
isogroupSym_100008_c0_g3,0.752085124717093
isogroupSym_100031_c0_g1,0.0249695286834071
isogroupSym_100036_c0_g1,0.493407614250489
isogroupSym_100044_c0_g1,-0.135630716931563
isogroupSym_100066_c0_g1,-0.550940724567822
isogroupSym_100071_c0_g1,0.437539865857148
isogroupSym_100075_c2_g2,0.548378515786368
isogroupSym_100097_c0_g1,-0.790182306753864
isogroupSym_100097_c0_g3,-0.645433946751131
isogroupSym_100100_c0_g2,0.682540233275638
isogroupSym_100110_c0_g3,0.714232568798267
isogroupSym_100136_c0_g1,-0.326629897983615
isogroupSym_100136_c0_g3,-0.112733813310553
isogroupSym_100168_c0_g1,-0.662484291044019
isogroupSym_100192_c0_g1,-0.198999144893888
isogroupSym_100201_c0_g1,0.0595738608404718
isogroupSym_100207_c0_g1,0.160891504672081
isogroupSym_100207_c0_g2,0.361440006545728
isogroupSym_100213_c0_g1,-0.888391672644993
isogroupSym_100230_c0_g1,0.861830899064099
isogroupSym_100230_c0_g3,-0.268365498509647
isogroupSym_100232_c0_g1,0.891734517181582
isogroupSym_100232_c0_g2,-0.284678917077492
isogroupSym_100246_c0_g1,-0.765313973963534
isogroupSym_100246_c0_g2,0.729949150227027
isogroupSym_100246_c0_g3,0.398601548403204
isogroupSym_100252_c0_g1,0.601690580721361
isogroupSym_100267_c0_g2,-0.0971006686070213
isogroupSym_100267_c0_g3,-0.677711986983359
isogroupSym_100278_c0_g1,-0.277223639932714
isogroupSym_100292_c0_g1,0.46397515478322
isogroupSym_100304_c0_g2,0.573005792152642
isogroupSym_100317_c0_g1,0.126434169285603
isogroupSym_100317_c0_g2,0.18734179657481
isogroupSym_100330_c0_g1,-0.375786074430285
isogroupSym_100339_c0_g1,-0.154913430886857
isogroupSym_100341_c0_g1,-0.088862571869272
isogroupSym_100346_c0_g1,0.938267087746747
isogroupSym_100365_c0_g2,0.85663382075729
isogroupSym_100382_c0_g5,-0.619571658996485
isogroupSym_100410_c0_g1,0.511170404851976
isogroupSym_100410_c0_g4,0.630542745649899
isogroupSym_100437_c0_g1,0.42008360916011
isogroupSym_100437_c0_g2,0.189761130601554
isogroupSym_100439_c1_g1,0.971761816550758
isogroupSym_100466_c0_g1,-0.560480260157056
isogroupSym_100467_c0_g1,-0.658828491444233
isogroupSym_100492_c0_g1,0.37379599353028
isogroupSym_100493_c0_g1,0.638284205523802
isogroupSym_100511_c0_g1,0.817127169163121
isogroupSym_100536_c1_g2,-0.815663793135876
isogroupSym_100536_c1_g4,0.23339448947332
isogroupSym_100539_c0_g1,-0.17654353694925
isogroupSym_100541_c0_g1,0.272948315986467
isogroupSym_100546_c0_g1,-0.622306390945794
isogroupSym_100571_c0_g1,0.858215717841803
isogroupSym_100572_c0_g3,0.307244162313959
isogroupSym_100588_c0_g2,0.511677543178945
isogroupSym_100611_c0_g1,-0.584171729093008
isogroupSym_100611_c0_g2,-0.746552780283313
isogroupSym_100629_c0_g1,0.902704469226825
isogroupSym_100635_c0_g1,-0.255407727477361
isogroupSym_100639_c0_g1,-0.280660336035409
isogroupSym_100639_c1_g1,0.302296517030048
isogroupSym_100639_c2_g1,0.34736294609078
isogroupSym_100642_c0_g1,-0.737373617089959
isogroupSym_100645_c0_g1,-0.56473997551021
isogroupSym_100665_c0_g1,0.396469160607025
isogroupSym_100679_c0_g1,0.730189274163758
isogroupSym_100694_c0_g1,-0.785170330769408
isogroupSym_100703_c0_g1,0.0580100071513688
isogroupSym_100705_c0_g1,-0.814531335052902
isogroupSym_100706_c0_g1,-0.63508472498822
isogroupSym_100716_c0_g1,-0.0950878101366399
isogroupSym_100716_c0_g2,0.287078328827958
isogroupSym_100730_c0_g1,-0.860753702025543
isogroupSym_100737_c0_g1,-0.572034219839152
isogroupSym_100738_c0_g1,-0.679107188909059
isogroupSym_100742_c0_g2,0.809093766450553
isogroupSym_100743_c0_g1,-0.727066969944803
isogroupSym_100761_c0_g1,0.814297684897286
isogroupSym_100761_c0_g3,0.0327642802199207
isogroupSym_100761_c0_g4,0.0431200902181762
isogroupSym_100764_c6_g1,-0.601598364434338
isogroupSym_100770_c0_g1,0.846482920133068
isogroupSym_100773_c0_g1,0.45209548670356
isogroupSym_100778_c0_g2,0.756314904334891
isogroupSym_100778_c0_g4,0.718183480952918
isogroupSym_100782_c0_g1,-0.279235779250625
isogroupSym_100792_c0_g1,0.278993191829403
