,kMEcyan
isogroupSym_100008_c0_g2,0.188857046347056
isogroupSym_100008_c0_g3,0.0516828168844281
isogroupSym_100031_c0_g1,0.213377423956855
isogroupSym_100036_c0_g1,0.138961370109045
isogroupSym_100044_c0_g1,0.281723947883695
isogroupSym_100066_c0_g1,0.315448608673278
isogroupSym_100071_c0_g1,0.21941509959205
isogroupSym_100075_c2_g2,0.104486438262791
isogroupSym_100097_c0_g1,0.119663966948437
isogroupSym_100097_c0_g3,0.669065327232684
isogroupSym_100100_c0_g2,-0.294409086711746
isogroupSym_100110_c0_g3,0.107151735178575
isogroupSym_100136_c0_g1,0.394185403477224
isogroupSym_100136_c0_g3,0.283403756245681
isogroupSym_100168_c0_g1,0.356043198370494
isogroupSym_100192_c0_g1,0.097842404055186
isogroupSym_100201_c0_g1,-0.0341760827872964
isogroupSym_100207_c0_g1,-0.101114513868172
isogroupSym_100207_c0_g2,-0.389268166760185
isogroupSym_100213_c0_g1,0.036716188355551
isogroupSym_100230_c0_g1,-0.330400399425522
isogroupSym_100230_c0_g3,0.553994018643777
isogroupSym_100232_c0_g1,-0.200065280417408
isogroupSym_100232_c0_g2,0.182360429717737
isogroupSym_100246_c0_g1,0.177681343623902
isogroupSym_100246_c0_g2,-0.183383387831919
isogroupSym_100246_c0_g3,-0.0207271182617531
isogroupSym_100252_c0_g1,0.103867222063973
isogroupSym_100267_c0_g2,0.566297983380257
isogroupSym_100267_c0_g3,0.143864057904548
isogroupSym_100278_c0_g1,-0.273738587972958
isogroupSym_100292_c0_g1,-0.287448190457328
isogroupSym_100304_c0_g2,0.0202219831491216
isogroupSym_100317_c0_g1,-0.225535006347816
isogroupSym_100317_c0_g2,-0.605356945312546
isogroupSym_100330_c0_g1,0.0897857625663174
isogroupSym_100339_c0_g1,-0.535555549846286
isogroupSym_100341_c0_g1,0.0888934624109151
isogroupSym_100346_c0_g1,-0.264601887347865
isogroupSym_100365_c0_g2,0.0314915281757872
isogroupSym_100382_c0_g5,0.315934218326747
isogroupSym_100410_c0_g1,0.00897594704182737
isogroupSym_100410_c0_g4,0.0760105233365347
isogroupSym_100437_c0_g1,-0.11619417677431
isogroupSym_100437_c0_g2,0.25808724378264
isogroupSym_100439_c1_g1,-0.35008778390737
isogroupSym_100466_c0_g1,0.448490986981584
isogroupSym_100467_c0_g1,0.163468083710549
isogroupSym_100492_c0_g1,0.115856698885024
isogroupSym_100493_c0_g1,-0.254719631038491
isogroupSym_100511_c0_g1,-0.227114529227397
isogroupSym_100536_c1_g2,0.104893392228625
isogroupSym_100536_c1_g4,0.366359804635573
isogroupSym_100539_c0_g1,0.682745746942796
isogroupSym_100541_c0_g1,-0.128618970269821
isogroupSym_100546_c0_g1,0.165349233412966
isogroupSym_100571_c0_g1,-0.429705571569086
isogroupSym_100572_c0_g3,0.550937035432728
isogroupSym_100588_c0_g2,-0.0345322119995449
isogroupSym_100611_c0_g1,0.670819984358544
isogroupSym_100611_c0_g2,0.51938114380911
isogroupSym_100629_c0_g1,-0.261433416773655
isogroupSym_100635_c0_g1,0.102640479972444
isogroupSym_100639_c0_g1,0.152628581939675
isogroupSym_100639_c1_g1,0.0782866278689093
isogroupSym_100639_c2_g1,0.262656135658093
