,module
isogroupSym_100008_c0_g2,1
isogroupSym_100008_c0_g3,0
isogroupSym_100031_c0_g1,0
isogroupSym_100036_c0_g1,0
isogroupSym_100044_c0_g1,1
isogroupSym_100066_c0_g1,0
isogroupSym_100071_c0_g1,0
isogroupSym_100075_c2_g2,0
isogroupSym_100097_c0_g1,0
isogroupSym_100097_c0_g3,0
isogroupSym_100100_c0_g2,0
isogroupSym_100110_c0_g3,0
isogroupSym_100136_c0_g1,1
isogroupSym_100136_c0_g3,0
isogroupSym_100168_c0_g1,0
isogroupSym_100192_c0_g1,0
isogroupSym_100201_c0_g1,0
isogroupSym_100207_c0_g1,0
isogroupSym_100207_c0_g2,0
isogroupSym_100213_c0_g1,0
isogroupSym_100230_c0_g1,0
isogroupSym_100230_c0_g3,1
isogroupSym_100232_c0_g1,0
isogroupSym_100232_c0_g2,0
isogroupSym_100246_c0_g1,0
isogroupSym_100246_c0_g2,0
isogroupSym_100246_c0_g3,0
isogroupSym_100252_c0_g1,0
isogroupSym_100267_c0_g2,0
isogroupSym_100267_c0_g3,1
isogroupSym_100278_c0_g1,0
isogroupSym_100292_c0_g1,0
isogroupSym_100304_c0_g2,0
isogroupSym_100317_c0_g1,0
isogroupSym_100317_c0_g2,0
isogroupSym_100330_c0_g1,1
isogroupSym_100339_c0_g1,1
isogroupSym_100341_c0_g1,0
isogroupSym_100346_c0_g1,0
isogroupSym_100365_c0_g2,0
isogroupSym_100382_c0_g5,0
isogroupSym_100410_c0_g1,0
isogroupSym_100410_c0_g4,0
isogroupSym_100437_c0_g1,0
isogroupSym_100437_c0_g2,0
isogroupSym_100439_c1_g1,0
isogroupSym_100466_c0_g1,0
isogroupSym_100467_c0_g1,1
isogroupSym_100492_c0_g1,0
isogroupSym_100493_c0_g1,0
isogroupSym_100511_c0_g1,0
isogroupSym_100536_c1_g2,1
isogroupSym_100536_c1_g4,0
isogroupSym_100539_c0_g1,1
isogroupSym_100541_c0_g1,0
isogroupSym_100546_c0_g1,0
isogroupSym_100571_c0_g1,0
isogroupSym_100572_c0_g3,0
isogroupSym_100588_c0_g2,0
isogroupSym_100611_c0_g1,0
isogroupSym_100611_c0_g2,0
isogroupSym_100629_c0_g1,0
isogroupSym_100635_c0_g1,1
isogroupSym_100639_c0_g1,1
isogroupSym_100639_c1_g1,0
isogroupSym_100639_c2_g1,0
isogroupSym_100642_c0_g1,1
isogroupSym_100645_c0_g1,0
isogroupSym_100665_c0_g1,0
