,kMEgreenyellow
isogroupSym_100008_c0_g2,0.569444027193953
isogroupSym_100008_c0_g3,-0.479190540779946
isogroupSym_100031_c0_g1,-0.133263390653297
isogroupSym_100036_c0_g1,-0.250876989192684
isogroupSym_100044_c0_g1,0.19698985959636
isogroupSym_100066_c0_g1,0.369082757917927
isogroupSym_100071_c0_g1,-0.232573976946819
isogroupSym_100075_c2_g2,-0.350809235289325
isogroupSym_100097_c0_g1,0.626600732142125
isogroupSym_100097_c0_g3,0.681305615670755
isogroupSym_100100_c0_g2,-0.451940343279699
isogroupSym_100110_c0_g3,-0.559164581404245
isogroupSym_100136_c0_g1,0.283786236655884
isogroupSym_100136_c0_g3,0.32928236646999
isogroupSym_100168_c0_g1,0.441860653799045
isogroupSym_100192_c0_g1,0.0450771803956915
isogroupSym_100201_c0_g1,-0.144979197393756
isogroupSym_100207_c0_g1,-0.181824417308855
isogroupSym_100207_c0_g2,-0.523527903534619
isogroupSym_100213_c0_g1,0.792593209880668
isogroupSym_100230_c0_g1,-0.712948068251258
isogroupSym_100230_c0_g3,0.576738099438718
isogroupSym_100232_c0_g1,-0.69177199355943
isogroupSym_100232_c0_g2,0.480173507049777
isogroupSym_100246_c0_g1,0.590450965080004
isogroupSym_100246_c0_g2,-0.810369209747164
isogroupSym_100246_c0_g3,-0.100699139761964
isogroupSym_100252_c0_g1,-0.352118037388329
isogroupSym_100267_c0_g2,0.097316991709409
isogroupSym_100267_c0_g3,0.734915163812062
isogroupSym_100278_c0_g1,0.211680469851131
isogroupSym_100292_c0_g1,-0.546843647499574
isogroupSym_100304_c0_g2,-0.553345155265688
isogroupSym_100317_c0_g1,-0.403382638987477
isogroupSym_100317_c0_g2,-0.348366354111145
isogroupSym_100330_c0_g1,0.431757535327526
isogroupSym_100339_c0_g1,0.147262900287619
isogroupSym_100341_c0_g1,0.0745260194253657
isogroupSym_100346_c0_g1,-0.807047852915238
isogroupSym_100365_c0_g2,-0.719461979602389
isogroupSym_100382_c0_g5,0.401261490135606
isogroupSym_100410_c0_g1,-0.216213034890769
isogroupSym_100410_c0_g4,-0.343545662270341
isogroupSym_100437_c0_g1,-0.118616095472843
isogroupSym_100437_c0_g2,-0.0691003056356431
isogroupSym_100439_c1_g1,-0.924723333716595
isogroupSym_100466_c0_g1,0.420555762463921
isogroupSym_100467_c0_g1,0.710831435456569
isogroupSym_100492_c0_g1,-0.107943170469166
isogroupSym_100493_c0_g1,-0.438994046457004
isogroupSym_100511_c0_g1,-0.639548962413454
isogroupSym_100536_c1_g2,0.798295483133499
isogroupSym_100536_c1_g4,-0.287670173929849
isogroupSym_100539_c0_g1,0.437659975532685
isogroupSym_100541_c0_g1,0.011515482178469
isogroupSym_100546_c0_g1,0.422596841214498
isogroupSym_100571_c0_g1,-0.826604290469709
isogroupSym_100572_c0_g3,-0.17072295303354
isogroupSym_100588_c0_g2,-0.38865380065134
isogroupSym_100611_c0_g1,0.470995879254879
isogroupSym_100611_c0_g2,0.592041292007331
isogroupSym_100629_c0_g1,-0.791036136867292
isogroupSym_100635_c0_g1,0.389711288246982
isogroupSym_100639_c0_g1,0.373655586901356
isogroupSym_100639_c1_g1,-0.386125800180085
isogroupSym_100639_c2_g1,-0.315623796839173
isogroupSym_100642_c0_g1,0.659738161875486
isogroupSym_100645_c0_g1,0.40847121411105
isogroupSym_100665_c0_g1,-0.676227389036786
isogroupSym_100679_c0_g1,-0.671477901872123
isogroupSym_100694_c0_g1,0.768736865669067
isogroupSym_100703_c0_g1,0.201335392957706
isogroupSym_100705_c0_g1,0.670704498705013
isogroupSym_100706_c0_g1,0.515950177333256
isogroupSym_100716_c0_g1,0.077381413323186
isogroupSym_100716_c0_g2,-0.266908263624719
isogroupSym_100730_c0_g1,0.734701807928696
isogroupSym_100737_c0_g1,0.392050195404029
