,Control_1.1,Control_1,Control_2.1,Control_2,Control_3.1,Control_3,Control_4.1,Control_4,Cool_1,Cool_2,Cool_3,Cool_4,Heat_1.1,Heat_1,Heat_2.1,Heat_2,Heat_3.1,Heat_3,Heat_4.1,Heat_4
Sym_100008_c0_g3,7.63652162183519,7.52799343743023,7.561374810958,7.35190403676445,7.61144404594987,7.45672559773531,7.49628707123427,7.37060731968738,6.79752754961808,6.66962883946139,6.89262818633305,6.98298879354484,7.59846215164139,7.50639008882128,7.5499012444251,7.57614650401727,7.69674741572004,7.53903318168894,7.63407124134917,7.35291861060974
Sym_100075_c2_g2,2.25579245154455,2.4688702238649,2.55515932448623,2.64215372290629,2.97558035427262,2.78771861877847,2.90847462454928,2.46709314629366,2.15629542898401,2.17006327898271,2.34508371174046,1.90561002663701,2.80765762042551,2.70538336466625,2.27880201158084,3.04088613584316,2.77688001636692,2.83773447328832,2.76148470953261,2.4080528756025
Sym_100110_c0_g3,6.49387321397649,6.20638409772376,6.26651111798398,5.92483471825345,6.19291153951241,6.11722903254294,6.04578506736593,5.92761097291248,5.90709608504551,5.70177200869226,5.37784299785352,5.88725376528043,5.95413688392398,6.59823241329471,6.37661779833742,6.45570976711607,6.33240293568235,6.42771150461863,6.48170951360888,6.01698201402707
Sym_100201_c0_g1,2.12239188079398,2.25537459763466,1.89528361214055,1.85183363969263,2.26151192934227,2.16433336879996,1.9771373490319,2.14249349782222,2.37889015698346,2.41877969471256,1.71707517105381,2.18871545954936,2.14916245783313,2.15112742475543,2.15246094129682,2.22853607800319,1.91721510720976,2.13787432631352,2.22072943840362,2.37541703527056
Sym_100207_c0_g1,3.9780710262341,4.00467678955948,4.17748382941675,4.20517314634125,3.58277059350297,4.23393064377242,4.15216379248227,4.06259580051376,3.84537561676119,3.99689955833762,4.30951703866137,4.07921344198822,4.13950572663127,3.95186316796623,4.06056606530787,3.87504427751451,4.22972858203095,4.28509722314715,4.33678454519469,4.12208220442269
Sym_100230_c0_g1,9.12584062031693,9.02484319704279,9.01286325341012,9.06202337053749,9.16563666464125,9.02475973904369,9.04839866133521,9.06318398451367,8.79032569773573,8.86854250772078,8.80554633883155,8.9818120512044,9.36270045078839,9.08459588666798,9.33015047677494,9.17029301589272,9.24004856063772,9.15636760133271,9.14647160972573,9.1356019336092
Sym_100232_c0_g1,4.95604065796253,4.96499689145539,4.70788005783522,5.0257449914732,5.09324100964171,4.88633345992303,4.94466627367759,5.07710992784454,4.22476676576497,4.17110210249853,4.14490043790389,4.33886023738578,5.50313009823587,5.14763357790352,5.27138315291979,5.23640571270649,5.2069205257478,5.24316153530953,5.25729151945415,5.23499169277213
Sym_100246_c0_g2,2.89396931906232,3.24372997099421,3.21415196656863,3.09556157029558,2.92200991956227,3.43135288268226,3.04348822142251,3.47068982269898,2.98448998178707,3.24796541054535,3.21655973133692,3.24549717192575,3.63098985194598,3.45131816199024,3.58650738929972,3.76570636053556,3.81218873404926,3.92604832959028,3.67150150518506,4.03136695143788
Sym_100252_c0_g1,5.08274119968946,4.5607323666377,5.04704924537626,4.96703910829817,4.45311134356945,4.73440819065026,4.85012174110269,4.81476105449456,4.02588308667721,3.99844280552069,4.41631464129384,4.24773154646445,4.67622448668039,4.93792916019515,4.89244410914478,4.77764425043004,5.02320665633403,4.84537989765889,4.59752524717195,4.80137042317459
Sym_100292_c0_g1,2.35662666235143,2.20003852028101,2.21597366234759,2.58938466907787,2.15719578412763,2.0919688511569,2.61704728204539,2.19152867289951,2.3313031387223,2.66927963278967,2.13590038635665,2.61457962674181,2.62219945135071,2.52834492704517,2.39756799206795,2.53341656575946,2.60454205244171,2.94834014236115,3.47263134052559,2.44985431109994
Sym_100304_c0_g2,2.92913510451524,2.74099078140604,2.76172803814068,2.60805504971708,2.92569002046001,3.11096157522006,2.63343355466574,2.90184806672305,2.74525079981167,2.60618631621488,2.48237570305189,3.03141934137357,2.88571811080724,2.91017599911988,3.02243982416883,3.42031262771257,3.14560426476853,3.37260645630648,2.7810479309026,2.99435530345907
Sym_100346_c0_g1,7.05813098561465,7.06195110239802,7.19768348721545,7.81734305540026,7.13279230327465,7.25228921032993,7.11281481264377,7.30906329567595,5.92043101235913,6.27319439922,5.97918551465886,6.28494247375432,8.3902829606417,7.8827168846868,7.87005954087878,8.01126772850691,8.1880381254183,8.41759100455707,8.32504094448313,8.29063953404561
Sym_100365_c0_g2,5.83344801174202,5.84517216611972,5.6602096177747,5.86396088373358,5.77935642808807,5.66035959875736,5.77594063173466,5.68304619647236,5.24852872500692,4.87305769573857,5.41120059637176,5.2771271540717,5.70561143112413,6.30507024162473,6.00470115033149,6.20547021997081,6.20524596039559,6.08372938912782,6.21821833669416,6.23080807627021
Sym_100439_c1_g1,6.62289052097138,6.60007629951879,6.65673552347042,6.64784105574198,6.52164793388332,6.77507613877827,6.45630346010993,6.74762133249992,6.32838392399163,6.23989949394544,6.24873241032397,6.00029708630079,7.56215533356883,7.33643038479237,7.42614341156651,7.39102850474716,7.36318969885175,7.19269416264212,7.48530887207256,7.29403833346077
Sym_100493_c0_g1,7.29393925964695,7.543655958,7.34081422250224,7.64243239729434,7.48722973107544,7.39365022149478,7.55540188617959,7.42745746418365,7.2325822055004,7.11095690023384,7.15181037273632,7.19610873198846,7.68987798785293,7.54116821696731,7.59948884416739,7.56116422101107,7.26206086313657,7.56393353672079,7.43443096075481,7.46058488308453
Sym_100511_c0_g1,6.10365611470518,5.86260673888646,5.86156360638791,5.84463847375566,6.0245857953174,6.05356560171912,6.10244889343983,6.26131575030201,5.55419752870167,5.17539930025801,5.43558036242646,5.03166686335183,6.89326600530576,6.08248880344809,6.18478146734722,6.47779846326125,6.36919905428811,6.47525417984261,6.08667205600401,6.20537456519994
Sym_100536_c1_g4,6.41331862093617,6.37083327653751,6.5194307781295,6.51000342828687,6.29565082734272,6.40335107117479,6.58812061657655,6.72037338864123,6.42090341088183,6.59720460028019,6.50591661440456,6.41081648073322,6.13572044655856,6.58208247353299,6.68954509635597,6.82711086929588,6.66188992606734,6.43008497059613,6.67327590999186,6.63413856995131
Sym_100571_c0_g1,5.93605624820145,5.66926474153954,5.76530158426749,5.80480192722794,5.7817208542842,5.10813785222619,5.66048921894222,5.59756709833612,5.40884821246919,5.62099823619968,5.29726821319587,5.5962800831372,6.29391010762798,6.05308821831949,6.06340548499527,6.02786123030087,6.17504492404834,5.90664526465087,6.1357820835869,6.13000269819661
Sym_100588_c0_g2,2.23296755363112,2.15252890212174,2.31557492745302,2.18180950768281,2.20876505539264,2.85691143439608,2.30110965237862,2.15977278323126,2.06897773946201,2.27618734654654,2.00855512551785,1.8177372201278,2.63359135608715,2.33565383819943,2.18322625481405,2.6607736002648,2.41484697390826,2.64820915197282,2.10399278245069,2.40678851589622
Sym_100629_c0_g1,10.2685513679501,10.0784179622129,10.0017760176276,9.83546157707074,10.0687444603715,9.8848071400938,9.85836611271398,9.59336202098752,9.21989846649744,9.7140712484727,9.47960925264846,9.80017038171776,10.5189820586278,10.3451253061234,10.3509296276843,10.3704244344022,10.3953100677957,10.2463280836299,10.4999475200551,10.0782514833136
Sym_100639_c1_g1,4.76437256012416,4.82215567213519,4.57686056668528,4.40615176604504,4.43329418771637,4.71237731390423,4.40676723355575,4.3383786506728,4.77440334000106,4.53657978094741,4.76566773103185,4.39642412669126,4.4492237311329,4.77645631805055,4.84617268089069,4.8107957484422,4.96175656787359,4.73699330822713,4.45758741433132,4.78111384775624
Sym_100639_c2_g1,4.46995124597067,4.37036599321521,4.60039682791711,3.88850994765632,4.60239751809257,4.10871312942899,4.41281553983439,3.92494025752136,4.2496250232188,4.49052218844983,3.81044639590162,4.27925023760651,4.11816941650303,4.3127648662639,4.70171250273832,4.47958324552079,4.29548297993168,4.29449631731836,4.55105056874376,4.61237779963241
Sym_100665_c0_g1,5.463814583605,5.6156374954058,5.29710707910683,5.67371701307531,5.56658651937191,5.52879629134428,5.63551588030629,5.56276174169833,5.98279281930054,6.10495366258592,6.12276735116586,5.96909965950484,6.15617760113209,6.15275403253411,6.3230069287766,5.94867924229376,6.17347113563291,6.0454085406711,5.994108879361,6.28730526357116
Sym_100679_c0_g1,6.07729877854203,5.940016385335,6.1930930211091,6.87263430313225,6.34139381176633,6.06141777028743,6.10612226764527,6.44857863257198,5.9197148220779,6.00138418514998,5.9021317257242,6.17805720607084,6.72054329377781,6.49534625334644,6.64658623886181,6.47876418230273,6.39384214338901,6.91182982743722,6.61530444315253,6.53235951833824
Sym_100716_c0_g2,2.83714094947382,2.94605369988829,3.0780242197263,2.89659991263779,2.95274185431075,2.86905534242317,3.15633731969257,2.64083620592796,2.97122689117644,2.89437501655734,2.6566906329436,2.94765779096049,2.69387025144585,3.10486011439393,3.16952106223739,3.00032421621342,3.00615752988093,3.01315278154469,2.80758222377902,3.24424996474021
Sym_100742_c0_g2,3.14618845810191,2.85026275891196,3.40394841841868,3.06847310832617,3.11050994416253,3.15370028685234,3.25028223887909,2.93936054817584,2.55572616473957,2.4381889849528,2.4363603914404,2.57626829461852,3.51790904556007,3.29237992740491,3.25758571777596,3.29910350311901,3.03216642928873,3.69078801479245,3.63723406472266,3.19450259129664
Sym_100761_c0_g1,3.85396910704379,3.88434775052323,4.2079877017118,4.15281375224949,4.10805643333618,3.97344075079475,4.14846080609309,3.71092503117146,3.76315289789499,3.87869987686895,3.38071244129755,3.2959249373096,4.2937109458246,4.64572394493369,4.44264645723062,4.49686357871254,4.00411699213332,4.16908693934593,4.50908226472646,4.54301390741035
Sym_100770_c0_g1,6.37188471377873,6.58186788439871,6.48880130497083,6.39638350181894,6.57383241740752,6.38760296084519,6.57396922616078,6.2142230128051,6.21264585070493,6.18422721839771,6.06629076690314,6.14403439934969,6.53834814497042,6.7151295414701,6.73193692336149,6.64678020053384,6.7363863850587,6.53546354539696,6.71492165580819,6.49242308813069
Sym_100773_c0_g1,6.30637058192199,5.992982016662,6.11380149529916,6.48240340740484,6.20041727768745,5.9276875203316,6.129457085294,6.18733714136705,5.99653976798569,6.0626749874554,5.99904711440093,6.15394749679846,6.1516169393002,6.21388861854017,6.26426605604582,6.3187471025123,6.20134081498357,6.04202868386483,6.28025859018654,6.23230747150925
Sym_100778_c0_g2,5.4775513063137,5.41479541784918,5.27378980910803,5.4286704130825,5.46662324634934,5.7938734676471,5.37900174450471,5.53137043241646,4.49563467348521,4.69494887497072,4.45515642594705,4.5870080266047,5.28353708078953,5.69693369521991,5.50535379135726,5.63314670729962,5.95312092034178,5.6038224751042,5.71789194252245,5.51720243488994
Sym_100778_c0_g4,5.08806669543212,5.05513515655381,5.2057044073606,4.71275789215942,5.06070417086924,4.71767806882613,5.05093757408751,4.66150904314514,3.98858509179366,4.09161114455714,3.80175828783415,3.77310212199626,4.76617489622615,5.13321014633525,4.99940296020616,5.08159460618254,5.02659644970472,4.99711837374115,5.10608079766844,4.90628178959246
Sym_100793_c2_g4,4.73887000221466,4.97672300540829,5.18431888834752,5.31493705530257,5.11916668089869,4.92509711868871,5.62657262621598,5.15979447049701,5.07407401105286,5.31069785333145,5.14698108603239,5.15029193466208,5.02348638534378,5.46548716286496,5.41346828586539,5.42379637633231,5.43345434603972,5.56942107065837,5.47496531803447,5.37374892462223
Sym_100806_c1_g1,5.24155963545176,5.17088520067214,4.97218128438308,5.37754598988849,5.10116834640452,5.12184853768133,5.20726313801083,5.13950733277212,4.66110022637744,5.29260446615303,4.87843529183134,5.17347809351872,5.56402930909654,5.16777509134481,5.14512671216355,5.21869907249727,5.48614932906778,5.04857384582766,5.49210356177246,5.3838317905728
Sym_100816_c0_g1,4.55400637464623,4.81316785201499,4.79796105880384,4.67265942856898,5.10359753398154,5.29730511878438,5.18691393719016,4.70001952248895,5.38133384253087,4.96703932561365,4.85177535671297,4.60303822898841,4.80825304369311,4.98386137855494,5.16698318782677,4.82027646980751,5.15574065448859,4.91588493882382,4.92993445658926,5.5406584360969
Sym_100842_c0_g1,6.41809919054209,6.48961187038331,6.08396234996747,6.2796361888099,6.26887383469436,6.51407362165513,6.2266801313894,6.49318018159289,6.0704733630274,5.97439812356379,5.92284487573442,6.33287843334607,6.29575598006441,6.40572924919773,6.4451517651797,6.51766067653745,6.38759343387816,6.55962098659446,6.40757452448423,6.2406246428642
