,Control_1.1,Control_1,Control_2.1,Control_2,Control_3.1,Control_3,Control_4.1,Control_4,Cool_1,Cool_2,Cool_3,Cool_4,Heat_1.1,Heat_1,Heat_2.1,Heat_2,Heat_3.1,Heat_3,Heat_4.1,Heat_4
Sym_100036_c0_g1,5.51078006856627,5.25285763856378,5.41814725073464,5.61203514137466,5.7890581948289,5.51300864463611,5.98144258241379,5.47985447662383,5.28087123823411,4.97741157438442,5.03875823879165,5.00223756558335,5.64455441668466,5.57780241791197,5.50052402896952,5.72480695295719,5.46217473738898,5.36909555874724,5.34339390589051,5.74833938060546
Sym_100071_c0_g1,5.7270174998225,5.85806854611148,5.80651210305147,5.68681458955836,5.65716380447012,5.98254187946767,5.57765396000774,5.95996198651155,5.12648861715563,5.6824043234616,5.32670629926762,5.58341799414043,5.60376507399572,5.90309706984481,5.96433726370087,5.79111525423047,5.74265831734633,5.6380725418608,5.68519398597335,5.70709958915233
Sym_100100_c0_g2,9.75518864668447,9.67492641662779,9.63938296925243,9.87565429568975,9.67476247642614,9.60950954858987,9.61707794559355,9.62054997103874,9.09065035821277,9.2464921990136,9.4596705937263,9.39315781956517,9.99461372156019,9.5306238190046,9.78825318192989,9.65987612512922,9.66424848196247,9.80195570885686,9.68727865360473,9.73745417010475
Sym_100136_c0_g3,3.15715461491476,3.14819651634772,2.76656776547424,3.09804892713637,3.47548549068201,3.10509727988989,3.34157262307972,3.23554901187176,3.02325281125005,3.02086696676842,2.89638995384827,2.61006211474879,2.95826346803558,3.03799996405513,3.02968622136503,3.04406366554629,2.86646430700097,2.88455408853199,2.97525456652138,2.72749943827665
Sym_100232_c0_g2,3.58621490201165,3.73982744217693,3.36655240903568,4.10199802598635,3.78001918562014,3.40413043658508,3.90516942971731,4.04391149107858,3.49612291441845,3.22455242071146,3.26211129272496,3.34247980236013,3.40873121522022,2.83729948320785,3.29181020010337,3.40247823042166,3.12179647453,3.43883637127817,3.10538910724468,3.81655917974634
Sym_100246_c0_g3,9.89584453205745,9.90669372258398,9.86945890375187,10.5107072883666,10.23365534375,10.0793570508837,10.196474872916,10.3611969666851,9.14428396991941,9.27686876352085,9.27200958217192,9.41377610070704,10.2395398173999,9.62887390516555,10.0873270056532,9.63761178135734,9.81745742854874,10.2182191037114,9.83313682683297,10.0110114698285
Sym_100410_c0_g1,7.09761334169299,7.11651395571646,7.32487716657388,7.5055007838992,7.22471368506169,7.32487781299129,6.90011808417768,7.69116861107465,6.46388040712737,6.33843900581238,6.05837484399682,6.15947510350233,7.23851501395755,7.01105773790889,7.14617237156562,7.15814649539674,6.97197940466536,7.41565883469363,6.97005269465908,7.08379891111316
Sym_100410_c0_g4,6.44262862700623,6.16990920227422,6.33122318929834,6.25767893898375,6.35211498708025,6.38040618983442,6.41381211073973,6.36512623243026,5.60403640235275,5.93053644295552,5.95448798552436,5.94044077520457,6.48141960758631,6.37634952001268,6.27105581343709,6.3474773721345,6.38747982314477,6.25492532637566,6.20317821063117,6.27031780538183
Sym_100437_c0_g1,9.87320290770959,9.82197384013819,9.85277793477318,10.0463900057918,10.028814830347,9.88408403465623,10.011768097753,9.84951785707142,9.49742737495157,9.62265732464405,9.3422307824131,9.50594135834942,10.1054270269508,9.67496025255969,9.97637715000263,9.65309027822936,9.72154745289323,9.81806488736579,9.82305953292794,9.79714063192753
Sym_100437_c0_g2,4.15296135770201,4.10554509994967,4.40342308873991,4.26994155667252,4.56854893706263,4.57265724114203,4.45821153395342,4.65958308121102,4.24957425575535,4.05993501356693,4.4066742254092,3.86985106283928,4.28548201382402,4.52929582261338,4.29225001257658,4.72511626127021,4.29544912696908,3.84329556865639,4.43429704662743,4.3903279141411
