,Control_1.1,Control_1,Control_2.1,Control_2,Control_3.1,Control_3,Control_4.1,Control_4,Cool_1,Cool_2,Cool_3,Cool_4,Heat_1.1,Heat_1,Heat_2.1,Heat_2,Heat_3.1,Heat_3,Heat_4.1,Heat_4
Sym_100031_c0_g1,1.83722718370905,1.83226075645073,2.0012940727068,1.70689328735602,2.12453917111261,1.65917808658317,2.22147215164579,1.64549607035447,2.12888601202999,1.91642401535237,2.14422777580534,1.83322687824609,1.83700944524796,1.94198398572838,2.01608277191914,1.86484891322266,1.78291606765083,1.99068107448621,2.08893989197901,2.40308631261751
Sym_100066_c0_g1,3.3795227871883,3.46543352442997,3.44510451956185,2.77243345551844,3.17492915433157,3.20173970493664,3.82670062641532,3.71292819870656,3.69834785228689,3.60888637233636,4.18033916358682,3.83143408966507,3.19964318826276,3.42554823390634,3.44943093016928,3.27291545011733,3.3877030098467,3.41321508507286,3.20484234329048,3.17273536425426
Sym_100097_c0_g1,4.94060309782933,5.10049394810927,5.053046878146,5.17661584390452,5.03939210816538,5.38039296510765,4.96989148891709,5.06243865362096,5.69899072528276,5.60277899157592,5.18075362879751,5.54516577887117,4.76049005832906,4.93150450058067,4.9508190402584,5.14625333880219,4.87358524282312,4.88285044168877,4.65293377642719,4.92234516418526
Sym_100168_c0_g1,5.49415257985523,5.39571694905997,5.6437424415107,5.25308111128978,5.55765140802668,5.41755735810654,5.68404754207269,5.42223382661791,5.93489642955084,6.06802506688106,6.17824175058996,5.98011957008637,4.96194998585901,5.3255409801843,5.40816999017928,5.33521974147903,5.4030074660856,5.95126900601454,5.46809896730563,5.56544162139939
Sym_100192_c0_g1,4.39105065187418,4.3481799952448,4.31653734861349,4.45309507318879,4.17528017043379,4.22644402934819,4.54669014761087,4.4097559442175,4.86553682101792,4.72689129998817,4.44576379668369,4.35049198165305,4.16227621256832,4.3529404244139,4.25418151184576,4.81122746611874,4.72096931493422,4.39863930788643,4.44288658424515,4.23435046630567
Sym_100207_c0_g2,5.56882224072883,5.15320038349273,5.24993422535177,5.09526863249096,5.4815438587045,4.98698746179056,5.01011873441889,5.35822011558071,5.17525926750222,5.49066156662614,5.5031769704659,5.64471382519117,5.62454181314215,5.73825829556276,5.5000379491493,5.50225314953627,5.64107239691565,5.2757927881987,5.48507167268627,5.39598787153596
Sym_100213_c0_g1,7.44831783662731,7.4915696121611,7.47480133871867,7.8752137599335,7.48321601674466,7.6225101165437,7.42732350044027,7.41693609857024,7.88115338986136,7.8435213927995,7.91955173866385,7.67743906493745,7.24800894123507,7.10240974977911,7.07229130610989,7.20073032053392,7.07723452449599,7.31097666759099,7.23530709066092,7.40358396857049
Sym_100246_c0_g1,3.30313600102947,2.96938792287189,3.26984195331868,2.8011779210115,3.41656224552634,3.13344579338483,3.3831245419012,3.09959611045989,3.99955208039214,3.34313921693386,3.77868051096106,3.74798140388818,2.99236190006944,2.88901388844028,2.99695226308332,2.8946064435162,2.96598332841584,2.80811067836184,2.88493313537059,3.25888228473647
Sym_100278_c0_g1,3.26819168316947,3.90095548235729,3.81491265898215,4.18970767714586,3.91339179883668,3.64833928407704,3.76091965942707,3.44797998612092,4.01217843263941,3.99496869555296,3.93418844582919,3.57142075578879,3.85815311896459,3.71994359718807,3.95475907777081,3.53655080612198,3.59356657564178,3.81327081383863,3.57433138137183,3.58318097171566
Sym_100317_c0_g1,5.42302087003824,5.03372820520143,4.72203225511588,4.85095023435061,4.8029011928645,4.65782505349955,5.01538778198782,5.02931046505193,5.37219085181407,5.43206079164319,5.63391627330554,5.49104233925794,5.06724773065276,5.3871219889467,5.66746154777322,5.34235057870774,5.49299069816281,5.2447263137316,5.41504745411767,5.21204365129712
