,kMEturquoise
Sym_100008_c0_g2,-0.309227512724348
Sym_100008_c0_g3,-0.944335732233543
Sym_100031_c0_g1,0.180153584565501
Sym_100036_c0_g1,-0.75043443337502
Sym_100044_c0_g1,-0.0584361157280377
Sym_100066_c0_g1,0.667578603857536
Sym_100071_c0_g1,-0.66282889946398
Sym_100075_c2_g2,-0.685281907931088
Sym_100097_c0_g1,0.760781994944555
Sym_100097_c0_g3,0.276569237088168
Sym_100100_c0_g2,-0.819313896602793
Sym_100110_c0_g3,-0.707501725010136
Sym_100136_c0_g1,0.221226383718098
Sym_100136_c0_g3,-0.336782462935272
Sym_100168_c0_g1,0.802761343553657
Sym_100192_c0_g1,0.405668987860726
Sym_100201_c0_g1,0.106408919960229
Sym_100207_c0_g1,-0.0387737573077167
Sym_100207_c0_g2,0.10840378002175
Sym_100213_c0_g1,0.705319668967201
Sym_100230_c0_g1,-0.7747659109445
Sym_100230_c0_g3,-0.42793853837041
Sym_100232_c0_g1,-0.905916843179026
Sym_100232_c0_g2,-0.2275400098494
Sym_100246_c0_g1,0.785115723318888
Sym_100246_c0_g2,-0.304646478821824
Sym_100246_c0_g3,-0.805747974839876
Sym_100252_c0_g1,-0.823361502984944
Sym_100267_c0_g2,0.025356331065548
Sym_100267_c0_g3,0.280609234195414
Sym_100278_c0_g1,0.273636085198191
Sym_100292_c0_g1,-0.0921848534824644
Sym_100304_c0_g2,-0.383366879991462
Sym_100317_c0_g1,0.458754122019891
Sym_100317_c0_g2,0.200293538674174
Sym_100330_c0_g1,0.117148517165545
Sym_100339_c0_g1,0.115538216732025
Sym_100341_c0_g1,0.0814523055636868
Sym_100346_c0_g1,-0.805771710194254
Sym_100365_c0_g2,-0.778494147801084
Sym_100382_c0_g5,0.772442817349071
Sym_100410_c0_g1,-0.882299795888503
Sym_100410_c0_g4,-0.893990836705526
Sym_100437_c0_g1,-0.802688460998352
Sym_100437_c0_g2,-0.362723478462343
Sym_100439_c1_g1,-0.666376162990931
Sym_100466_c0_g1,0.557064796882018
Sym_100467_c0_g1,0.307898268328149
Sym_100492_c0_g1,-0.738153652721503
Sym_100493_c0_g1,-0.760814919878839
Sym_100511_c0_g1,-0.811817955213079
Sym_100536_c1_g2,0.53838338609207
Sym_100536_c1_g4,-0.0747448006889578
Sym_100539_c0_g1,-0.383010184769125
Sym_100541_c0_g1,-0.705147040364618
Sym_100546_c0_g1,0.743063251808867
Sym_100571_c0_g1,-0.556640214076493
Sym_100572_c0_g3,-0.434738786657476
Sym_100588_c0_g2,-0.518124883323028
Sym_100611_c0_g1,0.546892189879656
Sym_100611_c0_g2,0.693312508790495
Sym_100629_c0_g1,-0.710617442709992
Sym_100635_c0_g1,-0.136177692726608
Sym_100639_c0_g1,-0.0452564289881979
Sym_100639_c1_g1,-0.0264741639145522
Sym_100639_c2_g1,-0.259533890626315
Sym_100642_c0_g1,0.557105966386805
Sym_100645_c0_g1,0.587810557836464
Sym_100665_c0_g1,0.284343502660829
Sym_100679_c0_g1,-0.558081929414794
Sym_100694_c0_g1,0.51663736559501
Sym_100703_c0_g1,-0.501402393054538
Sym_100705_c0_g1,0.763594316973024
Sym_100706_c0_g1,0.605462295317322
Sym_100716_c0_g1,0.0756547310496141
Sym_100716_c0_g2,-0.232593444090269
Sym_100730_c0_g1,0.739054939835275
Sym_100737_c0_g1,0.687979960688004
Sym_100738_c0_g1,0.595503444364834
Sym_100742_c0_g2,-0.823489825081538
Sym_100743_c0_g1,0.764512920495808
Sym_100761_c0_g1,-0.682859510890598
Sym_100761_c0_g3,-0.39799801493886
Sym_100761_c0_g4,0.0844458938155284
Sym_100764_c6_g1,0.789627024013511
Sym_100770_c0_g1,-0.774391727181765
Sym_100773_c0_g1,-0.441479616351651
Sym_100778_c0_g2,-0.914291481266929
Sym_100778_c0_g4,-0.938841164721764
Sym_100782_c0_g1,-0.292164061757272
Sym_100792_c0_g1,0.27180953066793
Sym_100793_c2_g1,-0.580386940228836
Sym_100793_c2_g2,0.415225881574897
Sym_100793_c2_g4,-0.144727467908369
Sym_100794_c0_g1,0.831014124633627
Sym_100802_c0_g1,-0.547953537198158
Sym_100806_c0_g1,0.179014416209738
Sym_100806_c1_g1,-0.489173968937017
Sym_100816_c0_g1,0.0108560992504456
Sym_100834_c0_g1,-0.472927851536925
Sym_100842_c0_g1,-0.663088060259026
Sym_100842_c0_g2,0.432391557166884
Sym_100842_c0_g3,0.022899956036138
Sym_100866_c0_g1,0.373928760490884
Sym_100888_c0_g1,0.0686972669102096
Sym_100888_c1_g1,0.163317640066549
Sym_100917_c0_g1,0.0607181376779067
Sym_100918_c2_g1,-0.530179002236758
Sym_100921_c0_g1,-0.133238970020061
Sym_100952_c0_g1,-0.514560057723573
Sym_100952_c0_g2,-0.726429875310483
Sym_100968_c0_g1,-0.805029490387041
Sym_100969_c0_g1,-0.369912499983649
Sym_100977_c1_g1,0.296029719876808
Sym_100983_c0_g1,0.0237084596244338
Sym_100987_c6_g1,0.481213348283753
Sym_101035_c0_g2,0.839597482441277
Sym_101037_c0_g1,-0.807686760378931
Sym_101045_c0_g1,-0.425998515793874
Sym_101046_c0_g1,0.374310409153835
Sym_101057_c0_g1,-0.621420477090605
Sym_101085_c0_g1,0.161062940763983
Sym_101087_c1_g1,0.472685380203325
Sym_101115_c0_g2,-0.104377961487354
Sym_101136_c0_g1,0.367679199499725
Sym_101138_c0_g1,-0.481010999565028
Sym_101146_c0_g2,-0.293904007602383
Sym_101148_c0_g1,-0.811924302848684
Sym_101158_c0_g1,0.299803499899125
Sym_101173_c0_g1,0.42996214434586
Sym_101178_c0_g1,0.891283653113425
Sym_101178_c0_g2,0.905498750094838
Sym_101196_c1_g1,-0.278706365687267
Sym_10119_c0_g1,0.777831667040278
Sym_101203_c0_g1,0.32228361565827
Sym_101210_c0_g1,-0.382895555521886
Sym_101210_c1_g1,0.681750861129339
Sym_101210_c1_g2,-0.242117221833375
Sym_101210_c1_g3,-0.848881312817758
Sym_101221_c0_g1,0.105770627646049
Sym_101245_c3_g1,-0.502394797839398
Sym_101245_c3_g2,-0.572844260952117
Sym_101245_c3_g4,0.300732094136302
Sym_101250_c0_g1,0.169287848568465
Sym_101254_c0_g1,0.578262172933656
Sym_101254_c0_g2,-0.175816706939443
Sym_101257_c0_g1,-0.940484846912556
Sym_101261_c1_g1,-0.767463320983711
Sym_101261_c1_g2,-0.165094883122589
Sym_101261_c2_g1,0.111886215794429
Sym_101293_c0_g3,0.0175099836331554
Sym_101299_c0_g1,0.435337029997095
Sym_101300_c0_g1,0.0485134006126091
Sym_101304_c1_g2,0.0196776178549135
Sym_101306_c1_g1,-0.631232123296454
Sym_101308_c4_g1,0.381724924339681
Sym_101312_c0_g1,0.723235742477818
Sym_101312_c0_g2,0.767757545926385
Sym_101326_c0_g1,-0.869660579771038
Sym_101329_c0_g1,-0.179976599698597
Sym_101338_c0_g1,-0.791133410938733
Sym_10133_c0_g1,-0.279351807926539
Sym_101341_c0_g1,0.604739015218494
Sym_101361_c0_g1,-0.563514570333426
Sym_101375_c0_g1,-0.0898895176963976
Sym_101385_c0_g1,0.621212171182354
Sym_101406_c0_g2,-0.704966105066234
Sym_101408_c0_g1,0.842614787288054
Sym_101419_c1_g1,-0.390540119140584
Sym_101420_c0_g1,0.00953415538211183
Sym_101422_c0_g1,0.560696490411568
Sym_101433_c0_g1,-0.512815184348736
Sym_101439_c1_g1,-0.469569971142207
Sym_101441_c0_g1,-0.881617873826368
Sym_101460_c0_g2,0.384531291196397
Sym_101460_c0_g3,0.293838062025979
Sym_101460_c0_g4,-0.0283533911142885
Sym_101486_c0_g1,-0.239080761352539
Sym_101486_c0_g2,-0.285721454418096
Sym_101501_c0_g1,-0.848020100296236
Sym_101501_c0_g2,-0.527342977736055
Sym_101502_c1_g1,-0.662038654058723
Sym_101510_c0_g1,-0.176139772772066
Sym_101537_c0_g1,-0.291626021023887
Sym_101537_c0_g2,-0.697326172276873
Sym_101543_c0_g2,-0.7695475635133
Sym_101543_c0_g3,-0.739696546928124
Sym_101549_c0_g1,-0.415388815677372
Sym_101551_c0_g1,-0.360383166148892
Sym_101567_c0_g1,0.507514776241539
Sym_101592_c0_g2,-0.0839826179497293
Sym_101592_c0_g3,-0.82466005326723
Sym_101592_c0_g4,-0.520037174203335
Sym_101600_c1_g1,-0.464552270215671
Sym_101606_c0_g1,-0.246265999894446
Sym_101607_c0_g1,-0.535781383292097
Sym_101607_c1_g1,-0.564452758190596
Sym_101629_c0_g1,-0.828536258898062
Sym_101635_c0_g3,0.85863444773132
Sym_101635_c0_g4,0.0769250564160365
Sym_101635_c0_g5,0.426840554720565
Sym_101645_c0_g2,-0.477749426467601
Sym_101653_c0_g1,-0.655653459420376
Sym_101657_c0_g1,0.00135305793893921
Sym_101680_c0_g1,0.523326703540524
Sym_101691_c0_g2,0.773499096982089
Sym_101691_c0_g3,-0.0301960120620964
Sym_101691_c0_g4,-0.0255540953203687
Sym_101695_c0_g2,0.582330080824786
Sym_101699_c0_g1,0.615922546953432
Sym_101728_c0_g1,-0.442216371829087
Sym_101757_c0_g1,-0.744434285816542
Sym_101757_c0_g2,-0.451737752294193
Sym_101762_c0_g2,0.542758949615623
Sym_101779_c0_g1,-0.0735288925016941
Sym_101783_c0_g3,0.196343099143324
Sym_101785_c0_g2,0.196966673349861
Sym_101793_c0_g1,0.955733859651378
Sym_101793_c0_g2,-0.108900408914334
Sym_101796_c0_g1,0.315107074883494
Sym_101801_c0_g1,0.276862276063776
Sym_101806_c0_g1,-0.786870987051287
Sym_101806_c0_g2,-0.609640196207249
Sym_10180_c0_g1,0.540060055730599
Sym_101813_c0_g1,0.438826995795339
Sym_101823_c0_g1,0.701265812463061
Sym_101823_c0_g2,0.0459190057976687
Sym_101828_c0_g2,-0.493256730208381
Sym_101832_c0_g1,0.654886838819635
Sym_101841_c0_g2,0.150276445965448
Sym_101846_c0_g2,-0.747769564360573
Sym_101847_c0_g1,0.641014891788524
Sym_10184_c0_g1,0.209825829522568
Sym_101851_c0_g1,-0.479530111673008
Sym_10186_c0_g1,-0.157779140506003
Sym_101876_c0_g1,-0.592939356580299
Sym_101880_c0_g1,-0.694039660782298
Sym_101900_c0_g2,-0.806912495514922
Sym_101900_c0_g3,0.457677248710494
Sym_101901_c1_g1,-0.524577776328499
Sym_101904_c1_g10,-0.0153068447987204
Sym_101904_c1_g2,-0.830090627195112
Sym_101904_c1_g7,-0.529230756848855
Sym_101904_c1_g9,-0.00115576537574265
Sym_101908_c0_g5,-0.48108458975702
Sym_101912_c0_g1,-0.572776769538637
Sym_101920_c0_g1,0.120602204023402
Sym_101928_c0_g2,0.708944028472237
Sym_101932_c0_g1,0.792725928832402
Sym_101932_c0_g3,0.561727530385746
Sym_101932_c0_g9,0.546672591025646
Sym_101941_c0_g1,-0.823562222696139
Sym_101946_c0_g1,-0.431025926056396
Sym_101949_c0_g1,0.337815212999238
Sym_101956_c0_g1,0.698183646896248
Sym_101956_c0_g2,-0.801696214985911
Sym_101966_c1_g1,0.744482590551698
Sym_101966_c1_g2,-0.385360726321048
Sym_101970_c0_g1,-0.166290354429568
Sym_101971_c0_g1,-0.568721510995431
Sym_101973_c1_g1,0.607154050114178
Sym_101973_c2_g2,-0.405805311911476
Sym_101973_c2_g3,-0.657975685987577
Sym_101976_c0_g1,-0.813048981708833
Sym_101983_c1_g1,0.357200101953441
Sym_101983_c1_g2,0.17505302114662
Sym_101988_c1_g1,0.872849383865446
Sym_101988_c1_g3,0.464473709223586
Sym_101992_c0_g1,0.457396018496764
Sym_101992_c0_g3,0.672293277476998
Sym_102029_c0_g1,-0.379587374507167
Sym_102038_c0_g1,-0.892477543749034
Sym_102048_c0_g1,-0.932353041208889
Sym_102051_c0_g1,0.111435359322662
Sym_102064_c0_g1,-0.558708249671156
Sym_102065_c0_g2,-0.75375751442054
Sym_102068_c0_g1,-0.880235219868994
Sym_102101_c0_g1,0.0715178304626506
Sym_102107_c0_g1,-0.409070233068033
Sym_102107_c0_g2,-0.790913058535449
Sym_102143_c0_g1,0.305886476074246
Sym_102151_c1_g1,0.220181013240475
Sym_102151_c4_g2,0.550233061756252
Sym_102162_c0_g1,0.691531445122972
Sym_102164_c0_g1,0.594495805723142
Sym_102186_c1_g1,0.0949614845443375
Sym_102186_c1_g3,0.321497760206603
Sym_102188_c5_g1,-0.544598887998258
Sym_102189_c0_g1,-0.351622417835356
Sym_102192_c0_g1,-0.773351706632792
Sym_102194_c1_g4,0.544188200723792
Sym_102202_c2_g1,0.300326803839355
Sym_102202_c4_g2,-0.916940828498169
Sym_102212_c0_g1,-0.812375489342395
Sym_102212_c0_g2,-0.943001829078489
Sym_102228_c0_g1,0.0755287833113194
Sym_102230_c0_g1,-0.720363990274127
Sym_102230_c0_g2,-0.606972174613346
