,module
Sym_100008_c0_g2,0
Sym_100008_c0_g3,0
Sym_100031_c0_g1,1
Sym_100036_c0_g1,0
Sym_100044_c0_g1,0
Sym_100066_c0_g1,1
Sym_100071_c0_g1,0
Sym_100075_c2_g2,0
Sym_100097_c0_g1,1
Sym_100097_c0_g3,0
Sym_100100_c0_g2,0
Sym_100110_c0_g3,0
Sym_100136_c0_g1,0
Sym_100136_c0_g3,0
Sym_100168_c0_g1,1
Sym_100192_c0_g1,1
Sym_100201_c0_g1,0
Sym_100207_c0_g1,0
Sym_100207_c0_g2,1
Sym_100213_c0_g1,1
Sym_100230_c0_g1,0
Sym_100230_c0_g3,0
Sym_100232_c0_g1,0
Sym_100232_c0_g2,0
Sym_100246_c0_g1,1
Sym_100246_c0_g2,0
Sym_100246_c0_g3,0
Sym_100252_c0_g1,0
Sym_100267_c0_g2,0
Sym_100267_c0_g3,0
Sym_100278_c0_g1,1
Sym_100292_c0_g1,0
Sym_100304_c0_g2,0
Sym_100317_c0_g1,1
Sym_100317_c0_g2,1
Sym_100330_c0_g1,0
Sym_100339_c0_g1,0
Sym_100341_c0_g1,1
Sym_100346_c0_g1,0
Sym_100365_c0_g2,0
Sym_100382_c0_g5,1
Sym_100410_c0_g1,0
Sym_100410_c0_g4,0
Sym_100437_c0_g1,0
Sym_100437_c0_g2,0
Sym_100439_c1_g1,0
Sym_100466_c0_g1,1
Sym_100467_c0_g1,0
Sym_100492_c0_g1,0
Sym_100493_c0_g1,0
Sym_100511_c0_g1,0
Sym_100536_c1_g2,0
Sym_100536_c1_g4,0
Sym_100539_c0_g1,0
Sym_100541_c0_g1,0
Sym_100546_c0_g1,1
Sym_100571_c0_g1,0
Sym_100572_c0_g3,0
Sym_100588_c0_g2,0
Sym_100611_c0_g1,1
Sym_100611_c0_g2,1
Sym_100629_c0_g1,0
Sym_100635_c0_g1,0
Sym_100639_c0_g1,0
Sym_100639_c1_g1,0
Sym_100639_c2_g1,0
Sym_100642_c0_g1,0
Sym_100645_c0_g1,1
Sym_100665_c0_g1,0
Sym_100679_c0_g1,0
Sym_100694_c0_g1,0
Sym_100703_c0_g1,0
Sym_100705_c0_g1,1
Sym_100706_c0_g1,1
Sym_100716_c0_g1,0
Sym_100716_c0_g2,0
Sym_100730_c0_g1,1
Sym_100737_c0_g1,1
Sym_100738_c0_g1,1
Sym_100742_c0_g2,0
Sym_100743_c0_g1,1
Sym_100761_c0_g1,0
Sym_100761_c0_g3,0
Sym_100761_c0_g4,1
Sym_100764_c6_g1,1
Sym_100770_c0_g1,0
Sym_100773_c0_g1,0
Sym_100778_c0_g2,0
Sym_100778_c0_g4,0
Sym_100782_c0_g1,0
Sym_100792_c0_g1,1
Sym_100793_c2_g1,0
Sym_100793_c2_g2,0
Sym_100793_c2_g4,0
Sym_100794_c0_g1,1
Sym_100802_c0_g1,0
Sym_100806_c0_g1,0
Sym_100806_c1_g1,0
Sym_100816_c0_g1,0
Sym_100834_c0_g1,0
Sym_100842_c0_g1,0
Sym_100842_c0_g2,1
Sym_100842_c0_g3,0
Sym_100866_c0_g1,1
Sym_100888_c0_g1,1
Sym_100888_c1_g1,0
Sym_100917_c0_g1,0
Sym_100918_c2_g1,0
Sym_100921_c0_g1,0
Sym_100952_c0_g1,0
Sym_100952_c0_g2,0
Sym_100968_c0_g1,0
Sym_100969_c0_g1,0
Sym_100977_c1_g1,0
Sym_100983_c0_g1,0
Sym_100987_c6_g1,0
Sym_101035_c0_g2,1
Sym_101037_c0_g1,0
Sym_101045_c0_g1,0
Sym_101046_c0_g1,1
Sym_101057_c0_g1,0
Sym_101085_c0_g1,0
Sym_101087_c1_g1,1
Sym_101115_c0_g2,0
Sym_101136_c0_g1,1
Sym_101138_c0_g1,0
Sym_101146_c0_g2,0
Sym_101148_c0_g1,0
Sym_101158_c0_g1,1
Sym_101173_c0_g1,0
Sym_101178_c0_g1,1
Sym_101178_c0_g2,1
Sym_101196_c1_g1,0
Sym_10119_c0_g1,1
Sym_101203_c0_g1,1
Sym_101210_c0_g1,0
Sym_101210_c1_g1,1
Sym_101210_c1_g2,0
Sym_101210_c1_g3,0
Sym_101221_c0_g1,0
Sym_101245_c3_g1,0
Sym_101245_c3_g2,0
Sym_101245_c3_g4,0
Sym_101250_c0_g1,1
Sym_101254_c0_g1,1
Sym_101254_c0_g2,0
Sym_101257_c0_g1,0
Sym_101261_c1_g1,0
Sym_101261_c1_g2,0
Sym_101261_c2_g1,0
Sym_101293_c0_g3,0
Sym_101299_c0_g1,0
Sym_101300_c0_g1,0
Sym_101304_c1_g2,0
Sym_101306_c1_g1,0
Sym_101308_c4_g1,1
Sym_101312_c0_g1,1
Sym_101312_c0_g2,1
Sym_101326_c0_g1,0
Sym_101329_c0_g1,0
Sym_101338_c0_g1,0
Sym_10133_c0_g1,0
Sym_101341_c0_g1,1
Sym_101361_c0_g1,0
Sym_101375_c0_g1,0
Sym_101385_c0_g1,0
Sym_101406_c0_g2,0
Sym_101408_c0_g1,1
Sym_101419_c1_g1,0
Sym_101420_c0_g1,0
Sym_101422_c0_g1,0
Sym_101433_c0_g1,0
Sym_101439_c1_g1,0
Sym_101441_c0_g1,0
Sym_101460_c0_g2,0
Sym_101460_c0_g3,0
Sym_101460_c0_g4,0
Sym_101486_c0_g1,0
Sym_101486_c0_g2,0
Sym_101501_c0_g1,0
Sym_101501_c0_g2,0
Sym_101502_c1_g1,0
Sym_101510_c0_g1,0
Sym_101537_c0_g1,0
Sym_101537_c0_g2,0
Sym_101543_c0_g2,0
Sym_101543_c0_g3,0
Sym_101549_c0_g1,0
Sym_101551_c0_g1,0
Sym_101567_c0_g1,0
Sym_101592_c0_g2,0
Sym_101592_c0_g3,0
Sym_101592_c0_g4,0
Sym_101600_c1_g1,0
Sym_101606_c0_g1,0
Sym_101607_c0_g1,0
Sym_101607_c1_g1,0
Sym_101629_c0_g1,0
Sym_101635_c0_g3,1
Sym_101635_c0_g4,1
Sym_101635_c0_g5,0
Sym_101645_c0_g2,0
Sym_101653_c0_g1,0
Sym_101657_c0_g1,0
Sym_101680_c0_g1,1
Sym_101691_c0_g2,1
Sym_101691_c0_g3,0
Sym_101691_c0_g4,0
Sym_101695_c0_g2,1
Sym_101699_c0_g1,1
Sym_101728_c0_g1,0
Sym_101757_c0_g1,0
Sym_101757_c0_g2,0
Sym_101762_c0_g2,0
Sym_101779_c0_g1,0
Sym_101783_c0_g3,0
Sym_101785_c0_g2,0
Sym_101793_c0_g1,1
Sym_101793_c0_g2,0
Sym_101796_c0_g1,0
Sym_101801_c0_g1,0
Sym_101806_c0_g1,0
Sym_101806_c0_g2,0
Sym_10180_c0_g1,1
Sym_101813_c0_g1,1
Sym_101823_c0_g1,1
Sym_101823_c0_g2,0
Sym_101828_c0_g2,0
Sym_101832_c0_g1,0
Sym_101841_c0_g2,0
Sym_101846_c0_g2,0
Sym_101847_c0_g1,1
Sym_10184_c0_g1,0
Sym_101851_c0_g1,0
Sym_10186_c0_g1,0
Sym_101876_c0_g1,0
Sym_101880_c0_g1,0
Sym_101900_c0_g2,0
Sym_101900_c0_g3,0
Sym_101901_c1_g1,0
Sym_101904_c1_g10,0
Sym_101904_c1_g2,0
Sym_101904_c1_g7,0
Sym_101904_c1_g9,0
Sym_101908_c0_g5,0
Sym_101912_c0_g1,0
Sym_101920_c0_g1,0
Sym_101928_c0_g2,1
Sym_101932_c0_g1,1
Sym_101932_c0_g3,1
Sym_101932_c0_g9,1
Sym_101941_c0_g1,0
Sym_101946_c0_g1,0
Sym_101949_c0_g1,1
Sym_101956_c0_g1,1
Sym_101956_c0_g2,0
Sym_101966_c1_g1,1
Sym_101966_c1_g2,0
Sym_101970_c0_g1,0
Sym_101971_c0_g1,0
Sym_101973_c1_g1,1
Sym_101973_c2_g2,0
Sym_101973_c2_g3,0
Sym_101976_c0_g1,0
Sym_101983_c1_g1,0
Sym_101983_c1_g2,1
Sym_101988_c1_g1,1
Sym_101988_c1_g3,1
Sym_101992_c0_g1,1
Sym_101992_c0_g3,1
Sym_102029_c0_g1,0
Sym_102038_c0_g1,0
Sym_102048_c0_g1,0
Sym_102051_c0_g1,0
Sym_102064_c0_g1,0
Sym_102065_c0_g2,0
Sym_102068_c0_g1,0
Sym_102101_c0_g1,0
Sym_102107_c0_g1,0
Sym_102107_c0_g2,0
Sym_102143_c0_g1,0
Sym_102151_c1_g1,0
Sym_102151_c4_g2,0
Sym_102162_c0_g1,1
Sym_102164_c0_g1,1
Sym_102186_c1_g1,0
Sym_102186_c1_g3,1
Sym_102188_c5_g1,0
Sym_102189_c0_g1,0
Sym_102192_c0_g1,0
Sym_102194_c1_g4,1
Sym_102202_c2_g1,0
Sym_102202_c4_g2,0
Sym_102212_c0_g1,0
Sym_102212_c0_g2,0
Sym_102228_c0_g1,0
Sym_102230_c0_g1,0
Sym_102230_c0_g2,0
Sym_102232_c0_g1,0
Sym_102249_c1_g1,0
Sym_102262_c0_g2,0
Sym_102268_c2_g1,0
Sym_102271_c1_g2,0
Sym_102275_c2_g1,1
Sym_102275_c2_g2,0
Sym_102279_c0_g1,1
Sym_102286_c0_g1,0
Sym_102287_c1_g2,0
Sym_1022_c0_g1,0
Sym_102304_c2_g4,1
Sym_102314_c0_g1,0
Sym_102318_c0_g1,0
Sym_102320_c4_g1,0
Sym_102320_c4_g2,0
Sym_102320_c5_g2,0
Sym_102320_c5_g3,0
Sym_102322_c3_g4,0
Sym_102324_c0_g5,0
Sym_102328_c0_g1,0
Sym_102356_c0_g2,0
Sym_102382_c3_g3,0
Sym_102395_c0_g1,0
Sym_102421_c0_g4,0
Sym_102428_c0_g1,0
Sym_102429_c1_g5,0
Sym_102451_c2_g7,0
Sym_102462_c0_g1,1
Sym_102464_c0_g1,0
Sym_102468_c0_g1,0
Sym_102471_c7_g1,0
Sym_102481_c0_g1,0
Sym_102517_c0_g1,0
Sym_102522_c0_g1,0
Sym_102531_c0_g3,1
Sym_102531_c1_g1,0
Sym_102534_c1_g1,0
Sym_102539_c1_g2,0
Sym_102539_c1_g5,0
Sym_102539_c1_g6,0
Sym_102539_c1_g8,0
Sym_102539_c1_g9,0
Sym_102563_c6_g1,0
Sym_102575_c0_g1,0
Sym_102580_c0_g1,0
Sym_102596_c1_g1,1
Sym_102599_c0_g1,0
Sym_102612_c1_g2,0
Sym_102636_c0_g1,0
Sym_102649_c0_g2,0
Sym_102649_c0_g5,0
Sym_102649_c1_g7,0
Sym_102649_c1_g9,0
Sym_102654_c0_g1,0
Sym_102664_c0_g1,0
Sym_102670_c3_g1,0
Sym_102670_c4_g1,1
Sym_102670_c4_g2,1
Sym_102677_c1_g1,1
Sym_102677_c1_g4,0
Sym_102677_c1_g5,1
Sym_102677_c1_g6,0
Sym_102677_c2_g1,1
Sym_102677_c2_g3,1
Sym_102678_c0_g2,0
Sym_102678_c1_g5,1
Sym_102684_c2_g7,1
Sym_102695_c0_g1,0
Sym_102696_c7_g1,1
Sym_102702_c0_g1,0
Sym_102710_c0_g1,0
Sym_102711_c0_g1,0
Sym_102712_c0_g1,0
Sym_102717_c4_g1,0
Sym_102717_c4_g5,1
Sym_102717_c4_g6,1
Sym_102721_c2_g1,0
Sym_102721_c2_g2,0
Sym_102731_c0_g2,1
Sym_102739_c0_g1,1
Sym_102739_c0_g3,1
Sym_102744_c1_g1,0
Sym_102764_c1_g1,0
Sym_102764_c1_g3,1
Sym_102769_c0_g1,0
Sym_102770_c0_g1,1
Sym_102774_c0_g1,0
Sym_102777_c0_g1,0
Sym_102785_c0_g1,0
Sym_102785_c2_g2,1
Sym_102785_c3_g1,1
Sym_102785_c7_g2,0
Sym_10278_c0_g1,1
Sym_102797_c0_g2,0
Sym_102798_c0_g2,0
Sym_102798_c0_g3,1
Sym_102806_c2_g3,0
Sym_102806_c2_g4,0
Sym_102825_c1_g2,0
Sym_102848_c3_g1,0
Sym_102873_c0_g1,0
Sym_102873_c0_g2,0
Sym_10287_c0_g1,0
Sym_10289_c0_g1,0
Sym_102902_c2_g1,0
Sym_102918_c1_g1,1
Sym_102918_c1_g2,1
Sym_102918_c1_g3,1
Sym_102927_c0_g1,0
Sym_102930_c1_g1,0
Sym_102930_c4_g1,1
Sym_102930_c7_g1,1
Sym_102930_c7_g2,1
Sym_102930_c7_g4,0
Sym_102949_c1_g1,0
Sym_102957_c2_g1,0
Sym_102974_c1_g1,1
Sym_102974_c1_g2,0
Sym_102976_c0_g1,0
Sym_102979_c10_g1,0
Sym_102979_c12_g1,0
Sym_102979_c13_g1,0
Sym_102979_c2_g1,0
Sym_102979_c4_g1,0
Sym_102979_c4_g2,1
Sym_102979_c7_g2,0
Sym_102979_c7_g3,0
Sym_102979_c9_g1,0
Sym_102979_c9_g2,0
Sym_102988_c1_g1,0
Sym_102988_c1_g2,1
Sym_102992_c2_g1,0
Sym_103005_c0_g1,0
Sym_103005_c0_g2,0
Sym_103012_c1_g1,1
Sym_103012_c2_g3,1
Sym_103012_c3_g1,0
Sym_103018_c0_g1,0
Sym_103019_c0_g1,1
Sym_103044_c3_g2,0
Sym_103046_c0_g1,1
Sym_103046_c1_g4,1
Sym_103056_c0_g1,0
Sym_103066_c3_g3,1
Sym_103069_c0_g1,1
Sym_103069_c0_g2,0
Sym_103069_c0_g3,0
Sym_103070_c0_g2,1
Sym_103089_c0_g1,0
Sym_103091_c0_g1,0
Sym_103093_c3_g10,0
Sym_103093_c3_g2,0
Sym_103093_c3_g3,0
Sym_103093_c3_g5,0
Sym_103093_c3_g8,0
Sym_103097_c0_g1,1
Sym_103127_c6_g1,0
Sym_103171_c0_g1,0
Sym_103193_c4_g1,1
Sym_103218_c0_g1,0
Sym_103226_c0_g1,0
Sym_103226_c0_g2,1
Sym_103226_c0_g4,1
Sym_103226_c0_g5,0
Sym_103230_c2_g1,1
Sym_103230_c3_g2,0
Sym_103230_c3_g4,0
Sym_103230_c4_g1,1
Sym_103230_c4_g2,1
Sym_103230_c4_g3,1
Sym_103230_c5_g1,0
Sym_103230_c5_g2,0
Sym_103230_c6_g3,0
Sym_103230_c6_g5,0
Sym_10324_c0_g1,0
Sym_103259_c1_g1,0
Sym_103259_c1_g2,0
Sym_103259_c1_g3,0
Sym_103259_c1_g4,0
Sym_103259_c2_g1,0
Sym_103264_c0_g1,0
Sym_103270_c0_g1,1
Sym_103270_c0_g3,0
Sym_103270_c0_g4,0
Sym_103279_c2_g1,0
Sym_103284_c0_g1,1
Sym_103284_c0_g3,1
Sym_103284_c0_g4,0
Sym_103301_c0_g1,0
Sym_103304_c0_g1,0
Sym_103304_c0_g2,1
Sym_103304_c0_g3,0
Sym_103304_c0_g4,0
Sym_103312_c0_g1,0
Sym_103313_c5_g1,1
Sym_103340_c0_g1,0
Sym_103362_c0_g1,0
Sym_103395_c0_g1,0
Sym_103410_c3_g5,1
