name	term	lev	seq	value
"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor"	GO:0016668	2	isogroupSym_311392_c0_g1	-0.520911110846323
"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor"	GO:0016668	2	isogroupSym_277879_c0_g1	0.86196380987063
"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor"	GO:0016668	2	isogroupSym_124310_c1_g1	-0.761540798720391
"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor"	GO:0016668	2	isogroupSym_5518_c0_g1	-0.937753617023973
"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor"	GO:0016668	2	isogroupSym_104866_c11_g1	-0.0191198253183424
"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor"	GO:0016668	2	isogroupSym_17159_c0_g1	-0.439303993053477
"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor"	GO:0016668	2	isogroupSym_44895_c0_g1	-0.456748978563809
"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor"	GO:0016668	2	isogroupSym_104530_c0_g1	-0.157091771478629
"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor"	GO:0016668	2	isogroupSym_56354_c0_g1	0.566646610994873
"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor"	GO:0016668	2	isogroupSym_129395_c1_g1	-0.0104040298679319
"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor"	GO:0016668	2	isogroupSym_100232_c0_g2	-0.284678917077492
"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor"	GO:0016668	2	isogroupSym_16515_c0_g1	0.851976319356635
"diacylglycerol O-acyltransferase activity"	GO:0004144	3	isogroupSym_31789_c0_g1	0.102392147446136
"diacylglycerol O-acyltransferase activity"	GO:0004144	3	isogroupSym_15897_c0_g1	0.100363561428274
"diacylglycerol O-acyltransferase activity"	GO:0004144	3	isogroupSym_118320_c8_g1	-0.397335948220064
"diacylglycerol O-acyltransferase activity"	GO:0004144	3	isogroupSym_85437_c0_g1	0.812659905190547
"diacylglycerol O-acyltransferase activity"	GO:0004144	3	isogroupSym_218301_c0_g1	-0.414644775322384
"diacylglycerol O-acyltransferase activity"	GO:0004144	3	isogroupSym_16351_c0_g1	0.916891847714028
"potassium ion transmembrane transporter activity"	GO:0015079	2	isogroupSym_57120_c0_g1	-0.696896327245967
"potassium ion transmembrane transporter activity"	GO:0015079	2	isogroupSym_85469_c0_g1	-0.223001758200748
"potassium ion transmembrane transporter activity"	GO:0015079	2	isogroupSym_277651_c0_g1	-0.636424810784995
"potassium ion transmembrane transporter activity"	GO:0015079	2	isogroupSym_249747_c0_g1	0.812305778732672
"potassium ion transmembrane transporter activity"	GO:0015079	2	isogroupSym_79864_c0_g2	-0.551968172531573
"potassium ion transmembrane transporter activity"	GO:0015079	2	isogroupSym_60402_c0_g1	-0.649389950536285
"potassium ion transmembrane transporter activity"	GO:0015079	2	isogroupSym_211827_c0_g1	0.907603177331875
"potassium ion transmembrane transporter activity"	GO:0015079	2	isogroupSym_102322_c3_g4	-0.344321490911398
"potassium ion transmembrane transporter activity"	GO:0015079	2	isogroupSym_133134_c4_g1	0.364388656749514
"potassium ion transmembrane transporter activity"	GO:0015079	2	isogroupSym_36978_c0_g1	0.269125052398965
"potassium ion transmembrane transporter activity"	GO:0015079	2	isogroupSym_64282_c0_g1	0.133364335921441
"potassium ion transmembrane transporter activity"	GO:0015079	2	isogroupSym_68273_c0_g1	0.503893553220087
"potassium ion transmembrane transporter activity"	GO:0015079	2	isogroupSym_65702_c0_g1	-0.611699295105663
