name	term	lev	seq	value
"clathrin binding"	GO:0030276	2	isogroupSym_112758_c7_g1	2.77398910468003
"clathrin binding"	GO:0030276	2	isogroupSym_308012_c0_g1	4.98801642177872
"clathrin binding"	GO:0030276	2	isogroupSym_32058_c0_g1	1.37269453840989
"clathrin binding"	GO:0030276	2	isogroupSym_273730_c0_g1	3.93792991386497
"clathrin binding"	GO:0030276	2	isogroupSym_59048_c0_g1	4.55403188656764
"clathrin binding"	GO:0030276	2	isogroupSym_73031_c0_g1	-0.107772604820039
"basic amino acid transmembrane transporter activity"	GO:0015181;GO:0015174;GO:0015189	2	isogroupSym_181149_c0_g1	-0.507349765727507
"basic amino acid transmembrane transporter activity"	GO:0015181;GO:0015174;GO:0015189	2	isogroupSym_42592_c0_g1	6.02733567518499
"basic amino acid transmembrane transporter activity"	GO:0015181;GO:0015174;GO:0015189	2	isogroupSym_19740_c0_g1	-2.03846586059868
"basic amino acid transmembrane transporter activity"	GO:0015181;GO:0015174;GO:0015189	2	isogroupSym_20368_c0_g2	1.29702446219657
"basic amino acid transmembrane transporter activity"	GO:0015181;GO:0015174;GO:0015189	2	isogroupSym_23015_c0_g1	-8.96083550393482
"basic amino acid transmembrane transporter activity"	GO:0015181;GO:0015174;GO:0015189	2	isogroupSym_66119_c1_g1	0.00846306896948354
"basic amino acid transmembrane transporter activity"	GO:0015181;GO:0015174;GO:0015189	2	isogroupSym_15852_c0_g1	2.92122492026651
"basic amino acid transmembrane transporter activity"	GO:0015181;GO:0015174;GO:0015189	2	isogroupSym_270751_c0_g1	16.8278665001338
"basic amino acid transmembrane transporter activity"	GO:0015181;GO:0015174;GO:0015189	2	isogroupSym_2225_c0_g1	-5.19016815109115
"sequence-specific mRNA binding"	GO:1990825	5	isogroupSym_58436_c0_g2	1.08342146149568
"sequence-specific mRNA binding"	GO:1990825	5	isogroupSym_187133_c0_g1	-0.769822960128854
"sequence-specific mRNA binding"	GO:1990825	5	isogroupSym_92133_c0_g1	0.137717999336705
"sequence-specific mRNA binding"	GO:1990825	5	isogroupSym_85461_c0_g1	6.4297216577271
"sequence-specific mRNA binding"	GO:1990825	5	isogroupSym_173215_c0_g1	0.584301186195137
"sequence-specific mRNA binding"	GO:1990825	5	isogroupSym_39693_c0_g2	1.27936115121517
"telomeric DNA binding"	GO:0042162	2	isogroupSym_239649_c0_g1	0.166269397120914
"telomeric DNA binding"	GO:0042162	2	isogroupSym_165879_c0_g1	-5.60176717990552
"telomeric DNA binding"	GO:0042162	2	isogroupSym_95826_c0_g1	15.3913816163727
"telomeric DNA binding"	GO:0042162	2	isogroupSym_22403_c0_g1	1.30540618000322
"telomeric DNA binding"	GO:0042162	2	isogroupSym_180625_c0_g1	-11.0647082895197
"telomeric DNA binding"	GO:0042162	2	isogroupSym_28806_c0_g1	-0.0359526159337781
"telomeric DNA binding"	GO:0042162	2	isogroupSym_130011_c0_g2	-0.264620548259742
"telomeric DNA binding"	GO:0042162	2	isogroupSym_150936_c1_g1	-0.465799712132664
"telomeric DNA binding"	GO:0042162	2	isogroupSym_43870_c0_g1	1.23384986626079
"telomeric DNA binding"	GO:0042162	2	isogroupSym_276880_c0_g1	-3.26632552964308
"telomeric DNA binding"	GO:0042162	2	isogroupSym_58816_c0_g1	3.46820564411888
"telomeric DNA binding"	GO:0042162	2	isogroupSym_132157_c4_g2	1.60012446500686
"telomeric DNA binding"	GO:0042162	2	isogroupSym_55106_c0_g1	-1.99311409904666
"telomeric DNA binding"	GO:0042162	2	isogroupSym_16359_c0_g1	2.14948200063433
"magnesium ion binding"	GO:0000287	2	isogroupSym_177318_c0_g1	-5.66508611812392
"magnesium ion binding"	GO:0000287	2	isogroupSym_172070_c0_g1	-0.930563818084942
"magnesium ion binding"	GO:0000287	2	isogroupSym_20906_c0_g1	3.17665115690862
"magnesium ion binding"	GO:0000287	2	isogroupSym_65180_c0_g1	-0.724810141055521
"magnesium ion binding"	GO:0000287	2	isogroupSym_119412_c8_g1	7.03930637722038
"magnesium ion binding"	GO:0000287	2	isogroupSym_119382_c7_g1	2.05228700659085
"magnesium ion binding"	GO:0000287	2	isogroupSym_241503_c0_g1	35.7598165926597
"magnesium ion binding"	GO:0000287	2	isogroupSym_175408_c0_g1	-0.622828441561179
"magnesium ion binding"	GO:0000287	2	isogroupSym_127311_c0_g1	-1.46188726882415
"magnesium ion binding"	GO:0000287	2	isogroupSym_274548_c0_g1	5.69734606162833
"magnesium ion binding"	GO:0000287	2	isogroupSym_172746_c0_g1	2.2482244116626
"magnesium ion binding"	GO:0000287	2	isogroupSym_57022_c0_g1	2.35599848295158
"magnesium ion binding"	GO:0000287	2	isogroupSym_179289_c0_g1	1.99036913617856
"magnesium ion binding"	GO:0000287	2	isogroupSym_178896_c0_g1	1.25150008119674
"magnesium ion binding"	GO:0000287	2	isogroupSym_22596_c0_g1	-0.912058764706761
"magnesium ion binding"	GO:0000287	2	isogroupSym_60397_c0_g1	1.44735450650857
"magnesium ion binding"	GO:0000287	2	isogroupSym_80511_c0_g1	1.25867846040926
"magnesium ion binding"	GO:0000287	2	isogroupSym_17466_c0_g1	0.816803492986161
"magnesium ion binding"	GO:0000287	2	isogroupSym_89213_c0_g1	0.521275276500308
"magnesium ion binding"	GO:0000287	2	isogroupSym_156689_c0_g1	0.452719335121264
"magnesium ion binding"	GO:0000287	2	isogroupSym_15435_c0_g1	-0.117909555685045
"magnesium ion binding"	GO:0000287	2	isogroupSym_125356_c0_g1	-0.839708139136205
"magnesium ion binding"	GO:0000287	2	isogroupSym_116556_c1_g1	18.6105965841217
"magnesium ion binding"	GO:0000287	2	isogroupSym_172737_c0_g1	7.76765251386752
"magnesium ion binding"	GO:0000287	2	isogroupSym_77142_c0_g1	0.137253507593524
"magnesium ion binding"	GO:0000287	2	isogroupSym_76386_c0_g1	-26.4363579872218
"magnesium ion binding"	GO:0000287	2	isogroupSym_209526_c0_g1	0.256741654611359
"magnesium ion binding"	GO:0000287	2	isogroupSym_127311_c0_g3	0.432412853839258
"magnesium ion binding"	GO:0000287	2	isogroupSym_150432_c3_g5	-36.9914920100281
"magnesium ion binding"	GO:0000287	2	isogroupSym_77478_c0_g1	0.700349743181703
"magnesium ion binding"	GO:0000287	2	isogroupSym_102764_c1_g3	17.3852817438609
"magnesium ion binding"	GO:0000287	2	isogroupSym_37903_c0_g1	-17.502435988259
"magnesium ion binding"	GO:0000287	2	isogroupSym_150432_c3_g6	-48.6155545041436
"magnesium ion binding"	GO:0000287	2	isogroupSym_180212_c0_g1	0.304956909751547
"magnesium ion binding"	GO:0000287	2	isogroupSym_60084_c0_g1	0.584914447953785
"magnesium ion binding"	GO:0000287	2	isogroupSym_239317_c0_g1	-0.914070355028825
"magnesium ion binding"	GO:0000287	2	isogroupSym_90250_c0_g1	4.13222827128044
"magnesium ion binding"	GO:0000287	2	isogroupSym_147014_c1_g1	-0.716528783542799
"magnesium ion binding"	GO:0000287	2	isogroupSym_214489_c0_g1	1.00297727600796
"magnesium ion binding"	GO:0000287	2	isogroupSym_105487_c5_g2	8.57800159183976
"magnesium ion binding"	GO:0000287	2	isogroupSym_40300_c0_g2	2.56320316121214
"magnesium ion binding"	GO:0000287	2	isogroupSym_147119_c1_g1	4.66714419214123
"magnesium ion binding"	GO:0000287	2	isogroupSym_276508_c0_g1	2.93135733900981
"magnesium ion binding"	GO:0000287	2	isogroupSym_66752_c0_g1	1.17282188346308
"magnesium ion binding"	GO:0000287	2	isogroupSym_37190_c0_g1	-1.74165010398935
"magnesium ion binding"	GO:0000287	2	isogroupSym_76515_c0_g2	0.62602264789071
"magnesium ion binding"	GO:0000287	2	isogroupSym_11396_c0_g1	-7.64155831859463
"magnesium ion binding"	GO:0000287	2	isogroupSym_86837_c0_g1	-2.93242249546572
"magnesium ion binding"	GO:0000287	2	isogroupSym_153117_c7_g2	-2.10354615327717
"magnesium ion binding"	GO:0000287	2	isogroupSym_238889_c0_g1	-0.354799868639534
"magnesium ion binding"	GO:0000287	2	isogroupSym_37840_c0_g1	3.60131463364866
"magnesium ion binding"	GO:0000287	2	isogroupSym_145309_c0_g1	13.0024884383319
"magnesium ion binding"	GO:0000287	2	isogroupSym_136283_c3_g6	0.210670173244303
"magnesium ion binding"	GO:0000287	2	isogroupSym_61152_c0_g1	2.67387068665844
"magnesium ion binding"	GO:0000287	2	isogroupSym_153133_c3_g1	-0.189928246480188
"magnesium ion binding"	GO:0000287	2	isogroupSym_89213_c0_g2	-1.73877940531512
"magnesium ion binding"	GO:0000287	2	isogroupSym_237173_c0_g1	-0.224130237196313
"magnesium ion binding"	GO:0000287	2	isogroupSym_181769_c0_g1	5.73795457780554
"magnesium ion binding"	GO:0000287	2	isogroupSym_60015_c0_g2	-0.189996688425919
"magnesium ion binding"	GO:0000287	2	isogroupSym_101385_c0_g1	3.36872940113535
"magnesium ion binding"	GO:0000287	2	isogroupSym_36992_c0_g1	0.545152643254256
"magnesium ion binding"	GO:0000287	2	isogroupSym_40311_c0_g1	0.706819608177881
"magnesium ion binding"	GO:0000287	2	isogroupSym_214283_c0_g1	-2.05015815030717
"magnesium ion binding"	GO:0000287	2	isogroupSym_102955_c3_g1	1.1824776933339
"magnesium ion binding"	GO:0000287	2	isogroupSym_275483_c0_g1	0.0895205714737269
"magnesium ion binding"	GO:0000287	2	isogroupSym_277579_c0_g1	25.2286723039232
"magnesium ion binding"	GO:0000287	2	isogroupSym_21768_c0_g1	-1.65659237850002
"magnesium ion binding"	GO:0000287	2	isogroupSym_138722_c2_g10	-0.779613836468503
"magnesium ion binding"	GO:0000287	2	isogroupSym_15214_c0_g1	-6.16520993074645
"magnesium ion binding"	GO:0000287	2	isogroupSym_21816_c0_g1	0.163539690174279
"magnesium ion binding"	GO:0000287	2	isogroupSym_118178_c0_g1	-0.470759574630289
"magnesium ion binding"	GO:0000287	2	isogroupSym_58017_c0_g1	-0.620512150815082
"magnesium ion binding"	GO:0000287	2	isogroupSym_132819_c2_g1	1.18843305115285
"magnesium ion binding"	GO:0000287	2	isogroupSym_92527_c0_g1	-0.39307498590769
"magnesium ion binding"	GO:0000287	2	isogroupSym_157904_c0_g1	8.73677441394879
"magnesium ion binding"	GO:0000287	2	isogroupSym_105169_c5_g3	-5.05319157541009
